Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa La Atalaya;Oriente de Asturias;Una cala aislada en un entorno urbano Es una pequeña cala de poco más de 100 metros, formada por arena blanca y piedra, a la que se puede llegar a pie desde el casco urbano de Ribadesella/Ribeseya.  Es una playa no muy concurrida, al estar un poco apartada y con un oleaje moderado. Está separada de la villa marinera por el monte Corbero o La Atalaya, que es de donde toma el nombre.;;;Ribadesella;A pie y coche;Bloques, cantos y gravas;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento;100 m.;Ordenanza mascotas en la playa: Desde 08/06 hasta 15/09 no está permitido el acceso de perros al arenal entre las 8:00 y las 21:00 h. Desde las 21:00 a las 8:00 h. el acceso está permitido llevándolos siempre atados.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (fines de semana y festivos): 08/06 a 15/09;;;;;;;;;;;+43.464284,-5.055104;/documents/39908/43563/PlayaAtalaya1.jpg/bfd4f8e6-93e8-9847-82b5-d7813d272839?t=1674171698102;Playa La Atalaya;
Playa de Santa Marina;Oriente de Asturias;Un centro de ocio en el corazón de una villa marinera La playa de Santa Marina tiene todos los servicios necesarios para disfrutar de una jornada segura de sol y playa: salvamento, servicio de asistencia al baño para personas con discapacidad, paseo marítimo, duchas, establecimientos de restauración... Todos estos equipamientos la han hecho merecedora de la Q de calidad. El arenal se abre en plena desembocadura del Sella, es urbana y registra una elevada ocupación. En el extremo oeste, se han hallado restos de huellas de dinosaurio (icnitas) y detrás del paseo hay multitud de villas modernistas e indianas.;;true;Ribadesella;A pie y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento,Surf;1.200 m.;Ordenanza mascotas en la playa: Desde 08/06 hasta 15/09 no está permitido el acceso de perros al arenal entre las 8:00 y las 21:00 h. Desde las 21:00 a las 8:00 h. el acceso está permitido llevándolos siempre atados.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 08/06 a 15/09 Accesible-Practicable: Aseos accesibles. Aparcamientos accesibles. Muletas adaptadas y servicio de silla anfibia en el puesto de salvamento (todos los días de 11:30 a 19:30 h);;;;;;;;;;;+43.465361,-5.070060;/documents/39908/43380/06332_PlayadeSantaMarina_Ribadesella.jpg/055863a9-21c8-b4cf-f827-7f1b2acd7af8?t=1674171519832,/documents/39908/43380/playa-santa-marina-ribadesella.jpg/8c81e834-cf0d-8e4b-3f7e-86c2d7a30c15?t=1699605878200,/documents/39908/43380/playa_de_santa_marina%282%29.jpg/3af0698e-7b5c-1133-4230-9b917ea089b4?t=1699606158064,/documents/39908/43380/playa_de_santa_marina_%283%29.jpg/1d9f52ee-8083-03bc-c114-3ef52c422c01?t=1699606160769,/documents/39908/43380/playa_de_santa_marina%284%29.jpg/c75e2808-e495-e577-a160-f72b578a669e?t=1699606159440;Playa de Ribadesella / Santa Marina,Playa santa marina Atardecer,Playa de Ribadesella / Santa Marina,Playa de Ribadesella / Santa Marina,Playa de Ribadesella / Santa Marina;,,,,
Playa de La Griega;Oriente de Asturias;Tras la huella de los grandes dinosaurios Si hay algo que define a la playa de la Griega son sus huellas de dinosaurio. Al este del arenal, surge una senda de poco más de medio kilómetro que llevará a los visitantes hasta unas icnitas que son las de mayor tamaño descubiertas hasta ahora en todo el mundo. Por lo demás, es un arenal en el que desemboca el río Libardón, de arena dorada y con una gran ocupación. Tiene buenos equipamientos y un camping situado a unos 200 metros de la playa. En bajamar, se forman piscinas naturales, lo que la convierten en un lugar ideal para ir con niños.;;;Colunga;A pie fácil y coche;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;820 m.;Ordenanza mascotas en la playa: Está prohibido el acceso de perros y demás animales domésticos a las playas, arenales y pedreros, desde 01/06 hasta 30/09. Servicio salvamento (diario): 01/07 a 09/09 PRACTICABLE Pasarela. Aseos y duchas accesibles.  ;;;;;;;;;;;43.500317,-5.261936;/documents/39908/43569/playa+de+la+Espasa.JPG/36e719bd-3552-33ef-1113-ee88cc7b04b1?t=1674171705945,/documents/39908/43569/la_griega_colunga_1.jpg/44249e96-401b-7d63-60d8-5b1f173301f4?t=1674171705351,/documents/39908/43569/senda+al+yacimiento+icnitas+playa+de+la+espasa.JPG/771d2a46-bfe6-71aa-bbc7-8d6204909aba?t=1674171706548;Playa de La Griega,Playa de La Griega,Playa de La Griega;,,
Playa Concha de Artedo;Occidente de Asturias;En forma de concha y con aguas cristalinas La Concha de Artedo es una de las playas más especiales de Asturias. Distinguida con Bandera Azul, son algo más de 700 metros de cantos rodados en la parte superior y arena dorada en bajamar, bien equipada y con bastante afluencia de bañistas. Disfruta de aguas cristalinas y se encuentra muy resguardada. Existen testimonios que hablan del fondeo de submarinos durante la Segunda Guerra Mundial en sus aguas, aunque no existen documentos escritos sobre ello que lo confirmen. Situada en Artedo.;true;;Cudillero;A pie fácil y coche;Bolos y arena dorada;;;Servicio hostelería,Duchas,Aparcamiento,Servicio salvamento;760 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.  ;;;;;;;;;;;+43.56453,-6.18882;/documents/39908/43491/PlayaConchaArtedo2.jpg/02436657-442e-5a76-f2bc-8c27b9d4768d?t=1674171627840,/documents/39908/43491/PlayaConchaArtedo3.jpg/d788871f-341e-2e6a-8b38-37704dcac64f?t=1674171628423,/documents/39908/43491/PlayaConchaArtedo4.jpg/7b9221ef-aa29-3dfb-914c-62497207297c?t=1674171629061;Playa de la Concha de Artedo,Playa de la Concha de Artedo,Playa de la Concha de Artedo;,,
Playa La Paloma/Esteiro;Occidente de Asturias;Pesca y playa entre islotes de formas caprichosas La Paloma, también conocida como Esteiro, es una playa tranquila, de arena fina y dorada, ventosa, con un oleaje moderado y unos islotes de formas caprichosas. El arenal está cerca del Cabo Esteiro y tiene forma de meandro de río. El arenal está ubicado en la parte más occidental del concejo de Tapia de Casariego, en su capital, Tapia. El acceso rodado se realiza a través de una carretera, primero, y de una pista de tierra, después. Además, se trata de una zona de litoral cercana a acantilados y adecuada para practicar pesca submarina y deportiva.  ;;;Tapia de Casariego;A pie y en coche;Arena fina;;;Duchas,Servicio salvamento,Aparcamiento;250 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso de animales domésticos a las playas y zonas de baño, a excepción del que resulte preciso para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Queda autorizada en las playas la presencia de perros lazarillo en compañía de la persona a quien sirvan, sin perjuicio de la responsabilidad de su poseedor y/o propietario ni de las medidas que el mismo deba adoptar para evitar molestias o riesgos paro el resto de usuarios. Quienes vulneren la prohibición del número 1, o no cumplan con las condiciones preceptuadas en el número 3 anteriores, deberán abandonar de inmediato las playas con el animal, a requerimiento verbal de los Agentes de la autoridad, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (fines de semana 01/07 a 15/09): 11:30 a 19:30 h.;;;;;;;;;;;+43.563665,-6.956740;/documents/39908/43509/Playa+de+La+Paloma+3.jpg/dfadf37a-cb4b-9971-2ce6-8a7844ff6ea0?t=1674171646306,/documents/39908/43509/Playa+de+La+Paloma+2.jpg/a81cf763-8d02-d6db-6786-ca5fd22250dc?t=1674171645550,/documents/39908/43509/Playa+de+La+Paloma+5.jpg/4ecc48ee-3adb-ada1-5abb-d4decfefc83a?t=1674171647465,/documents/39908/43509/Playa+de+La+Paloma+6.jpg/e42352d7-a9da-9d5d-ddcc-5485f3ac2523?t=1674171648108;Playa de La Paloma / Esteiro,Playa de La Paloma / Esteiro,Playa de La Paloma / Esteiro,Playa de La Paloma / Esteiro;,,,
Playa de Troenzo;Oriente de Asturias;Una cala de acceso peatonal junto a un área de cámpings Troenzo es una cala de ciento treinta metros situada a las afueras de Celoriu, en una zona que congrega varios cámpings. Esta playa mide tan solo 130 metros y se queda sin su arena blanca y fina con la pleamar. Está resguardada del oleaje cantábrico, lo que la convierte en un punto ideal para el baño. En el flanco izquierdo se encuentra el denominado Castro de Troenzo. Acceso a pie por un sendero desde la carretera que une Celoriu con Barru, donde hay un pequeño aparcamiento. Pequeños escalones de bajada que facilitan el descenso.;;;Llanes;A pie fácil y coche;Arena blanca y bolos;;;Servicio hostelería,Aparcamiento;60 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.436588,-4.818061;/documents/39908/43362/PlayaTroenzo1.jpg/cc38b9a0-c61f-d30b-3a25-237e61b149d0?t=1674171488978;Playa de Troenzo;
Playa de Torbas;Occidente de Asturias;Una gran ensenada de cantos y arena, de gran belleza La playa de Torbas es casi un kilómetro de arena y cantos rodados, que forma una gran ensenada abierta entre vegetación y acantilados.  Torbas tiene unos accesos sencillos y no cuenta con una gran afluencia de público. Es una playa adecuada para la pesca y en su parte derecha, la zona más rocosa, se practica el buceo. Advertencia por peligro de desprendimientos.;;;Coaña;A pie y coche;Arena oscura y grava;;;Playa sin Humo,Aparcamiento,Servicio salvamento;730 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 15/06 hasta 15/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 01/07 a 31/08 de 12:00 a 19:00 h. ;;;;;;;;;;;+43.557517,-6.782338;/documents/39908/43356/playa-de-torbas-5.jpg/a199cb56-5e6a-7e7f-8812-882b83476dcb?t=1719312131145,/documents/39908/43356/playa-de-torbas-coana+%284%29.jpg/ddaa3a63-8eef-3844-fd3c-8f7a6911c5a7?t=1719300519494,/documents/39908/43356/playa-de-torbas-coana+%282%29.jpg/9915a83a-e502-e696-7c9f-cf89e91d98c9?t=1719300516879,/documents/39908/43356/playa-de-torbas-6.jpg/b94c183e-e3a3-1df1-6ed1-94e479439db7?t=1719312133181;Playa de Torbas en Coaña,Playa de Torbas en Coaña,Playa de Torbas en Coaña,Playa de Torbas en Coaña;,,,
Playa de Porcía;Occidente de Asturias;Meandros e islotes para una ensenada diferente Porcía es una playa de cantos y arena, de forma triangular compartida por El Franco y Tapia de Casariego. En ella desemboca el río de mismo nombre que sirve de límite natural para ambos concejos. Destaca por los meandros fluviales y los islotes del Boy. De fácil acceso y con buenos servicios, desde la playa son visibles restos de un embarcadero de mineral de hierro y diversos norayes en las rocas para el amarre de los barcos. Tiene mucha afluencia, quizá en parte por su belleza, sus arenas doradas y sus aguas especialmente tranquilas. En Tapia de Casariego se accede por la localidad de Campos y Salave y en El Franco se accede por Valdepares.;;;El Franco y Tapia de Casariego;A pie y en coche;Arena fina dorada;;;Playa sin Humo,Aseos,Duchas,Aparcamiento;240 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso de animales domésticos a las playas y zonas de baño, a excepción del que resulte preciso para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Queda autorizada en las playas la presencia de perros lazarillo en compañía de la persona a quien sirvan, sin perjuicio de la responsabilidad de su poseedor y/o propietario ni de las medidas que el mismo deba adoptar para evitar molestias o riesgos paro el resto de usuarios. Quienes vulneren la prohibición del número 1, o no cumplan con las condiciones preceptuadas en el número 3 anteriores, deberán abandonar de inmediato las playas con el animal, a requerimiento verbal de los Agentes de la autoridad, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.562570,-6.875401;/documents/39908/43317/playadeporc%C3%ADa_7.jpg/bccf71c9-693e-65f3-56a8-4718fbeabc9b?t=1674171442717,/documents/39908/43317/playadeporc%C3%ADa_2.jpg/f95a2074-c828-c59e-dfaa-e0df8cbb4fa9?t=1674171441390,/documents/39908/43317/porcia_area-recreativa+_3.jpg/34437db8-8f0f-ee53-616c-348da3fb101a?t=1674171443363;Playa de Porcía,Playa de Porcía,Playa de Porcía;,,
Playa de Rodiles;Oriente de Asturias;Integrada en la Reserva Natural de la Ría de Villaviciosa Rodiles dispone de una extensa zona arbolada de pinos y eucaliptos y de un paseo marítimo de madera por el margen de la ría que lo transforman en un arenal único. Con más de un kilómetro de longitud y 300 metros de ancho, que sufren grandes variaciones con las mareas, es una de las playas más grandes y una de las más concurridas, también para los aficionados a los deportes acuáticos, como el surf y la pesca . Es una zona muy abierta, con fuerte oleaje. Dispone de transporte público, además de un aparcamiento controlado y campings en sus mediaciones.;true;;Villaviciosa;A pie fácil y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Área Recreativa,Servicio salvamento,Surf;1.000 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 17/06 a 17/09 ACCESIBLE – PRACTICABLE Sillas anfibias: 01/07 a 05/09 miércoles a domingo (12:00 a 19:00 h) Grupos grandes reservar con antelación: villaviciosa@cruzroja.es Grupos reducidos en la misma playa (contactar con servicio salvamento)  ;;;;;;;;;;;+43.533404,-5.379658;/documents/39908/43335/06420_Playa_de_Rodiles.jpg/872e138e-c614-b1d8-2f1d-dae15b40fbad?t=1674171467245,/documents/39908/43335/06097_Playa_de_Rodiles.jpg/9bebc624-c9d9-2768-12e9-e2b9bc400b4d?t=1674171466648,/documents/39908/43335/04541_Playa_de_Rodiles.jpg/224977b5-2250-1a39-1482-2510714134fd?t=1674171466039;Playa de Rodiles,Playa de Rodiles,Playa de Rodiles;,,
Playa de Frexulfe;Occidente de Asturias;Un extenso arenal de gran valor ecológico y turístico. Frexulfe es una playa de gran extensión, cercana a la villa marinera de Puerto de Vega, que está bordeada por una senda costera y que dispone de una zona arbolada, que fija un sistema dunar. El arenal está enclavado en un monumento natural, al que le da nombre, que abarca un total de 15 hectáreas. En su orilla se encuentran especies animales y botánicas muy escasas como el Tohantus Marítimus o el Cormorán Moñudo. En el extremo más oriental de este arenal, de fuerte oleaje, desemboca un arroyo. Ese es el punto en el que está permitido el baño. Dispone de todos los servicios.  Orientada al norte, lo que la hace peligrosa para el baño.;true;;Navia;A pie y coche;Arena fina y tostada;;;Duchas,Aparcamiento,Accesible,Servicio salvamento,Surf;820 m.;Ordenanza mascotas en la playa:  Queda prohibido el acceso y la presencia de animales domésticos a las playas, aguas y zonas de baño del 22/06 a 11/09.  En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios.  Quienes vulneren las prohibiciones o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los miembros de Salvamento y Protección Civil y/o de los Agentes de la Autoridad. Servicio de salvamento: 22/06 a 11/09 Accesible - Practicable Plazas de aparcamiento. Rampas. Duchas adaptadas. Silla anfibia (horarios servicio de salvamento) ;;;;;;;;;;;+43.559185,-6.674495;/documents/39908/43485/PlayaFrexulfe2.jpg/a2f4339f-8663-a009-244b-33bf80cd7614?t=1674171623598,/documents/39908/43485/frejulfe.jpg/22fc5e30-5007-5276-3765-74d50fa6fe81?t=1674171624785,/documents/39908/43485/playa_de_frexulfe.jpg/80acc011-3266-303a-58a2-a00d0a65dde4?t=1674171625367;Playa de Frexulfe,Playa de Frexulfe,Playa de Frexulfe;,,
Playa de Portizuelo;Occidente de Asturias;Pintorescos paisajes que atraen incluso a premios Nobel Portizuelo es una playa pedregosa, alargada y estrecha. Su singularidad radica en las formaciones rocosas que salpican la costa con formas en punta. Una de ellas es la denominada Piedra El Óleo, nombre que recibe por la gran cantidad de pintores que la han inmortalizado. Era el paseo favorito del premio Nobel asturiano Severo Ochoa. El acceso se puede realizar a través de dos rutas. Desde Villar, a través de una pista de gran desnivel se llega a una cetárea cercana. Desde Barcia, directamente al prado colindante con el arenal.;;;Valdés;A pie por Villar. A pie y en coche por Barcia (abajo no hay aparcamiento, difícil dar la vuelta);Bolos;;;;100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.    ;;;;;;;;;;;+43.547866,-6.518020;/documents/39908/43323/Portizuelo3.jpg/01d28bd7-d6a0-fed7-9334-b98263057d16?t=1674171455300,/documents/39908/43323/PlayaPortizuelo1.jpg/5cc2e635-13d0-8d47-4494-94f1e3e457b4?t=1674171453782;Playa de Portizuelo,Playa de Portizuelo;,
Playa de San Román o Figueras;Occidente de Asturias;La Playa de San Román o Figueras a la sombra de poderosos acantilados Pequeña cala de arena gruesa y aguas tranquilas, con acceso rodado y situada en la Villa de Figueras, entre los astilleros y el Puente de Los Santos.  Sólo se puede llegar a ella en bajamar. Rodeada de poderosos acantilados, es una cala tranquila, con baja ocupación y situada en un entorno muy bello y de alto interés, al formar parte de la Reserva Natural Parcial de la Ría del Eo y a su vez de la Reserva de la Biosfera Río Eo, Oscos y Tierras de Burón. No tiene equipamientos ni servicio de salvamento.   ;;;Castropol;A pie y coche;Arena gruesa;;;Surf;200 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 31/05 hasta 13/09. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a 1 metro y, cuando así fuera necesario por las características del animal, deberán ir provistos de bozal.  ;;;;;;;;;;;43.539817,-7.027547;/documents/39908/43479/PlayaFigueras1.jpg/c8aa8e66-1fa7-90ab-4e1d-fc088dc1a1c4?t=1674171619117;Playa de Figueras y San Román;
Playa de Serín;Centro de Asturias;Una ensenada aislada a cinco kilómetros de la ciudad La playa de Serín, junto a su vecina al oeste, la playa de la Cagonera, son dos ensenadas pequeñas y aisladas a tan sólo cinco kilómetros de Gijón/Xixón. Con difícil acceso. Tiene un arenal escaso y su baño ha de ser con precaución, debido a su fondo rocoso. Por su parte Cagonera, es un pequeño arenal que en su día se utilizaba como refugio de barcas y pescadores. El baño no es aconsejable y para la práctica de deportes náuticos (como la pesca submarina o el buceo) se recomienda acceder a ella mediante embarcación.;;;Gijón;A pie;Arena, grava y rocas;;;,;350 m.;Ordenanza mascotas en la playa: No está permitido el acceso con mascotas. ;;;;;;;;;;;+43.550542, -5.610663;/documents/39908/43440/Ser%C3%ADn+%283%29.jpg/c19fcb61-ec05-6312-6b81-4ff1c599a51d?t=1674171575090,/documents/39908/43440/Ser%C3%ADn+nueva+%281%29.jpg/fde860e3-6f57-8fc5-db7e-9579748a64bb?t=1687179138374,/documents/39908/43440/serin-%281%29.jpg/225c1a46-be37-a082-f94f-efb4b8cd0bfb?t=1687179109453,/documents/39908/43440/serin+nueva-%282%29.jpg/fcaf1d60-ea74-2fca-2f81-81d5879683f5?t=1687179278961;Playa de Serín,Playa de Serín,Playa de Serín,Playa de Serín;,,,
Playa de Torimbia;Oriente de Asturias;Torimbia es una de las más hermosas playas del litoral Llanisco. Situada al oeste de Toranda, resguardada por unos bellos y verticales acantilados. Se trata de un extenso arenal, de acceso peatonal, forma de concha y arena dorada que no ha perdido atractivo con el paso de los años. Se accede a Torimbia a través de un camino asfaltado que parte de Niembru, deja atrás Toranda y asciende hasta el cabo Prieto. El descenso a la playa se realiza bien por una pista habilitada, que desembocada en la parte oeste del arenal, o por senderos agrestes en la ladera, que terminan en la zona más oriental.  Dispone de un chiringuito en temporada. Se accede desde Niembru.  ;;;Llanes;A pie;Arena blanca;;;Duchas,Aparcamiento,Servicio salvamento;500 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.44282,-4.85257;/documents/39908/43515/torimbia.jpg/e8080e4e-5fe6-36b3-3bd3-657ba97a607f?t=1674171651878,/documents/39908/43515/PlayaTorimbia2.jpg/d0a767c4-47e6-d5a1-3f10-6fe0c0fda6ee?t=1674171650638,/documents/39908/43515/PlayaTorimbia3.jpg/1ea58bb2-d299-098a-d5c1-d06455389322?t=1674171651300,/documents/39908/43515/PlayaTorimbia1.jpg/e06e7830-2814-0c85-0078-f9d86a87a190?t=1674171649958;Playa de Torimbia, saliente Punta Pestaña y Playa de San Antolín al fondo,Playa de Torimbia y Portacos,Playa de Torimbia y Portacos,Playa de Torimbia y Portacos;,,,
Playa de La Ñora;Centro de Asturias;Una pequeña cala al pie de un mirador La playa de La Ñora es un pequeño arenal flanqueado por acantilados, de arena dorada y fuerte oleaje. Con un alto grado de ocupación, su acceso es sencillo y cuenta con varios aparcamientos. En ella desemboca el río de mismo nombre, que sirve de límite entre los concejos de Gijón y Villaviciosa. Como principal atractivo, destaca su paseo, que sube hasta un mirador sobre el acantilado, y constituye el principio de la senda La Ñora-El Rinconín. Precisamente estas montañas provocan que sea una playa muy sombría a partir de media tarde.;true;;Villaviciosa;A pie y coche.;Arena dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento;150 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En los paseos marítimos y urbanos, en las zonas cercanas a los accesos a la playa, se permite la presencia de animales de compañía siempre y cuando vayan sujetos con una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 17/06 a 17/09  ;;;;;;;;;;;+43.54721,-5.59002;/documents/39908/43371/LaNora1.jpg/8002e349-52eb-509d-413a-81896d2ae77b?t=1674171494413,/documents/39908/43371/LaNora2.jpg/1842e936-eb56-5a36-4ac8-6810775b71e0?t=1674171495020,/documents/39908/43371/LaNora3.jpg/529eb66b-4f67-d04f-97bf-4dbf56ab15be?t=1674171495592,/documents/39908/43371/LaNora4.jpg/17ee24b7-ce9c-5be5-e659-a138ad69919d?t=1674171496214;Playa de La Ñora,Playa de La Ñora,Playa de La Ñora,Playa de La Ñora;,,,
Playa de Ballota;Oriente de Asturias;Un potente bufón que da personalidad a esta tranquila playa Es la hermana tranquila de la playa de Andrín. Separadas solo por el mirador de la Boriza, Ballota disfruta de unas aguas tranquilas con poco oleaje y una arena fina y blanca. El conjunto que forma junto con el islote del Castro es de espectacular belleza. Ballota tiene como peculiaridad un potente bufón activo en los días de oleaje. En pleamar, la zona de arena se cubre casi por completo dejando como resultado una playa de bolos y rocas. No dispone de muchos equipamientos y su acceso es sencillo.;;;Llanes;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento;350 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.412431,-4.713786;/documents/39908/43461/PlayaBallota2.jpg/5b4d863e-9ccb-8ef3-c597-5c745ff93095?t=1674171601929,/documents/39908/43461/PlayaBallota1.jpg/a282d1f0-d01e-787f-6fcf-86864b827d43?t=1674171604952,/documents/39908/43461/PlayaBallota3.jpg/48f4a77a-d905-c034-e154-c63ca6287dfc?t=1674171602553;Playa de Ballota,Playa de Ballota,Playa de Ballota;,,
Playas Primera y Segunda de Luarca;Occidente de Asturias;Una amplia ensenada urbana y familiar, muy concurrida Las Playas Primera y Segunda de Luarca, son las playas de la capital del concejo de Valdés. Resguardadas del fuerte oleaje cantábrico por los espigones construidos frente a la costa, gozan de una vistas privilegiadas de la salida al mar de los puertos deportivo y pesquero. Son de arena oscura. Cuentan con acceso rodado y un paseo marítimo que, junto con sus aguas tranquilas, las convierten en una zona de recreo familiar, muy popular.;;;Valdés;A pie fácil y coche;Arena oscura;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento;480 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. ACCESIBLE – PRACTICABLE (La Primera de Luarca) Rampa. Plazas de aparcamiento accesibles.;;;;;;;;;;;43.546709,-6.538224;/documents/39908/43443/Playa12Luarca1.jpg/b5e12efc-5fa7-b84f-b396-809bb07ef347?t=1674171579137,/documents/39908/43443/Playa12Luarca2.jpg/d4a0ddfd-a59f-5ee8-0cdb-12722e48aa0c?t=1674171579768,/documents/39908/43443/playa-segunda-luarca.jpg/e9695646-f377-28f5-83ae-27800905bfd0?t=1674171577662;Playa 1ª y 2ª de Luarca,Playa 1ª y 2ª de Luarca,Playa 1ª y 2ª de Luarca;,,
