Nombre;Concejo;Zona;Dirección;Teléfono;Email;Web;Más información;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción breve;Descripción;Horario y duración de las visitas;Tarifas;Visitas guiadas;Productos que comercializa;Indicar los productos que disponen de D.O.P. o I.G.P.;Observaciones;Coordenadas;Slide;Título;Url
Quesería Quesos Artesanos La Corte;Caso;Centro de Asturias;Tanes, 18. 33994 . Tanes;626 349 211;info@quesoslacorte.es;http://www.quesoslacorte.es/;;https://www.facebook.com/QuesosLaCorte;https://twitter.com/QueseriaLaCorte;;;;;;;La Quesería La Corte, se encuentra situada en pleno Parque Natural de Redes;Somos artesanos el Queso Casín, con Denominación de Origen Protegida y uno de los más antiguamente documentados en Asturias… en algunos documentos del s. XIV ya lo mencionan. Nuestro queso se elabora con técnicas tradicionales y apostamos por la economía de proximidad. Nuestro queso puede ponerse en cualquier mesa en cualquier época del año… y cuando adquieres uno de nuestros quesos estás ayudando al mantenimiento del trabajo de ganaderos y a nuestra pequeña quesería, así como a evitar la despoblación rural.;Consultar Para las visitas mínimo 6 pax.;Consultar;Sí ;D.O.P. Queso Casín;;Reservas: 626 349 211 / info@quesoslacorte.es;43.206559,-5.400612;/documents/39908/65985/quesos-artesanos_la_corte+%283%29.jpg/2ee833a6-6b37-2ced-a578-ac2b937032d4?t=1674194265135,/documents/39908/65985/quesos-artesanos_la_corte+%282%29.jpg/85b5eace-4d3a-d176-90bf-f24a6dc61dbc?t=1674194264471,/documents/39908/65985/quesos-artesanos_la_corte+%286%29.jpg/2d9982dd-748c-8f1c-729d-20a6ac83c41f?t=1674194267063,/documents/39908/65985/quesos-artesanos_la_corte+%281%29.jpg/1336137a-8888-aa75-7dde-726ca265e6fc?t=1674194263914;Quesos Artesanos La Corte,Quesos Artesanos La Corte,Quesos Artesanos La Corte,Quesos Artesanos La Corte;,,,
Bodega Las Danzas;Cangas del Narcea;Occidente de Asturias;C/ Las Mestas, 30. 33817. Cangas del Narcea;663 083 548;bodegalasdanzas@gmail.com;https://bodegalasdanzas.es/;;https://www.facebook.com/lasdanzasbodega/;;;;;;;;Bodega Las Danzas, una nueva bodega con un vino excepcional;Tras varios años cultivando uvas en las escarpadas laderas de Cangas del Narcea, nos decidimos a lanzar nuestra propia marca y crear una bodega que conserve los valores del vino de de la zona. Años de esfuerzo y dedicación a nuestras cepas, dan lugar a un gran vino artesanal con unos sabores distintos y únicos. El amor y el respeto por la naturaleza, trasmitido de generación en generación, es una de las señas de identidad de la Bodega Las Danzas. ;Visitas concertadas a demanda y previa reserva con antelación: bodegalasdanzas@gmail.com / 663 083 548;;;La Media Vuelta Albarín Blanco 2019 Mencía y Carrasquín 2020 Albarín Blanco 2020 Verdejo Negro 2020 La Danza Prima Danza Prima Tinto Plurivarietal La Danza Prima Blanco  ;;Tienda online;43.124610,-6.523568;/documents/39908/65940/2021-bodega-las-danzas+%282%29.jpg/b4b43ab4-b693-1143-a62d-10f759e872f0?t=1674194204609,/documents/39908/65940/2021-bodega-las-danzas+%281%29.jpg/470f283e-702e-21e0-88bb-3bba6e2f4276?t=1674194203846,/documents/39908/65940/2021-bodega-las-danzas+%283%29.jpg/63c6cc6c-28b0-52fe-4313-26eca388b74a?t=1674194206443,/documents/39908/65940/2021-bodega-las-danzas+%285%29.jpg/11b0b3ae-1f3a-d358-4e6e-16be6d898138?t=1674194207689;Bodega Las Danzas,Bodega Las Danzas,Bodega Las Danzas,Bodega Las Danzas;,,,
Quesería Los Caserinos;Villaviciosa;Oriente de Asturias;Maoxu, 7. Grases. Villaviciosa;659 144 426;familia@loscaserinos.com;https://loscaserinos.com/;;https://www.facebook.com/Los-Caserinos-453010764780203;;;;https://www.instagram.com/explore/locations/4 54984382/los-caserinos/?hl=es;;;;Los Caserinos es una quesería asturiana totalmente familiar con amplia tradición ganadera;En nuestra casa verás entre otras muchas cosas razas autóctonas, cómo es el proceso de elaboración del queso, arroz con leche y yogur ecológico. ¡Ven y vive una jornada con nosotros inolvidable!  ;Lunes a sábado: 10:00, 11:00, 12:00, 17:00, 18:00 y 19:00 h. Duración de la visita: 1 h. aprox. ;;Sí;Yogur natural sin/con azúcar de caña ECO (certificación COPAE) Arroz con leche y quesos.;;También en la visita se puede disfrutar de una pequeña exposición de herramientas y utensilios del mundo rural y posibilidad de tocar todo tipo de animales de granja;43.468357,-5.467291;/documents/39908/66012/Los_Caserinos+%281%29.jpg/9d4f8691-e1d8-cdb0-3089-a1546528da23?t=1674194294001,/documents/39908/66012/Los_Caserinos+%282%29.jpg/3d875163-c4db-f6be-7ada-de6b85b8fbeb?t=1674194294625,/documents/39908/66012/Los_Caserinos+%283%29.jpg/3f53ddff-78ed-dc58-8f03-1f7e92570bf8?t=1674194296211,/documents/39908/66012/Los_Caserinos+%284%29.jpg/881e6e80-1714-27d1-b83e-d7fe94da8bd3?t=1674194296797;Quesería Los Caserinos,Quesería Los Caserinos,Quesería Los Caserinos,Quesería Los Caserinos;,,,
Llagar Sidra JR;Gijón;Centro de Asturias;CN632 - Nº 5321. 33394. Cabueñes;985 338 437;info@sidrajr.es;;;https://www.facebook.com/sidranaturaljr;;;;https://www.instagram.com/sidrajr/;;;;Conoce el proceso de elaboración de la sidra, en el Llagar Sidra JR. Llagareros desde 1910.;Visita guiada por la pumarada y las instalaciones de nuestro llagar, con la que descubrirás el camino que recorre la manzana desde que está en el árbol, hasta convertirse en sidra y embotellarse. Además, degustarás nuestras sidras naturales recién espichadas de un tonel. ¡Acabarás la visita con un muy buen sabor de boca!;Lunes a Viernes: 11:00, 13:00, 16:00 y 17:00 h. Sábado: 11:00 y 13:00 h. La visita dura 45 min. aproximadamente. Reservas: 698 922 907 / visitas@sidrajr.es;Mayores 18 años: 10 €/pax. Menores 18: gratis. Grupos: consultar visitas@sidrajr.es / 698 922 907;Sí;Sidra Natural: Sidra JR Etiqueta Verde Sidra JR Etiqueta Negra (D.O.P.) Pura Madre Sed de PKDO;;No se admiten mascotas. La visita incluye: Visita a la pomarada, a las inslataciones del llagar y a las bodegas. Degustación de nuestras sidras y regalo de un vaso serigrafiado para mayores de 18 años. Recomendable: Chaqueta de abrigo para acceder a la bodega (sensación térmica más baja que en el exterior) Plazas limitadas, ¡¡¡No te quedes sin tu reserva!!! visitas@sidrajr.es / https://sidrajr.es/  ;43.520839,-5.588121;/documents/39908/65949/Llagar+Sidra+JR+%282%29.jpg/17551df5-26e9-74f7-744e-68ffd3afd834?t=1674194214477,/documents/39908/65949/Llagar+Sidra+JR+%283%29.jpg/4f05e0ce-1208-b1e7-59fc-6bce48d9baad?t=1674194215099,/documents/39908/65949/Llagar+Sidra+JR+%284%29.jpg/3ab71163-4a0d-f257-40af-bd0e4ec281df?t=1674194215792,/documents/39908/65949/Llagar+Sidra+JR+%281%29.jpg/09d07dd5-0b0c-dbfc-190c-c0c7107f3aae?t=1674194213825;Escanciando en el Llagar Sidra JR,Toneles de sidra en el Llagar Sidra JR,A la puerta del Llagar Sidra JR,Vista aérea del Llagar Sidra JR;,,,
Pomarada de José Antonio Lebredo;Coaña;Occidente de Asturias;33796. Villacondide;649 899 733;lebredo@yahoo.es;;;;;;;;;;;Visitas guiadas a una pomarada. ;Visita a una explotación de cuatro hectáreas dedicada al cultivo de manzana de sidra y cría de gochos asturceltas que pastan libremente entre manzanos, castaños y robles.  La explotación cuenta también con una plantación de castaños mocorrizados para la producción de setas y de castañas, una plantación de aguacates, y una pequeña producción de setas Shiitake sobre troncos de castaño y carbayo. Si algún grupo estuviese interesado en visitar algo de eso se podría organizar una visita específica para verlo. ;A convenir (siempre previa reserva);Adultos: 5€;;;Dieciséis variedades de manzana de sidra D.O.P;Se puede llegar en autocar al lado mismo de la pomarada. Una hectárea es terreno llano y facilmente accesible, el resto es pendiente y solo sería accesible para gente que esté en buena forma física. ;43.50327,-6.74361;/documents/39908/3510665/Pumarada-%284%29.jpg/6720ba59-7eed-987d-35c6-b769892e4f30?t=1704363200687,/documents/39908/3510665/Pumar-con-manzanas-%285%29.jpg/9c3a43d4-d9c8-4554-a9b6-b9431eb2ccc0?t=1704363202082,/documents/39908/3510665/Manzana-en-pumarada-%283%29.jpg/c8357d9f-69d1-4372-5126-552095bdfbaa?t=1704363195811,/documents/39908/3510665/Pumarada-%282%29.jpg/4ee11936-c066-724f-7211-1e526514a8c6?t=1704363199317;Pumarada 1,Pumar con manzanas,Manzana en pumarada,Pumarada;,,,
Cofradía del Vino de Cangas;Cangas del Narcea;Occidente de Asturias;Estación de Autobuses - 33800 Cangas del Narcea;616 580 822 / 620 173 970;raulteimil@yahoo.es,mnieves36@hotmail.com;;;;;;;;;;;La Cofradía del vino de Cangas nace, promovida por un grupo de personas  amigas de la cultura del vino, en el año 2003 como una asociación mixta sin ánimo de lucro.;En la actualidad está formada por casi un centenar de mujeres y hombres, que participan y financian sus actividades con el fin de promover y dar a conocer la cultura del Vino de Cangas. Sus objetivos son los de difundir y promocionar el vino de Cangas, favorecer el intercambio de ideas e iniciativas que contribuyan al conocimiento del vino y colaborar con otras instituciones para desarrollar actividades relacionadas con la cultura del vino.  Relación de las actividades: • Desarrollo y organización de actividades relacionadas con el vino, catas comentadas,  favoreciendo con ello el intercambio de conocimientos y contribuyendo a un mejor conocimiento del vino en general y del vino de Cangas en particular. • Gran Capítulo de la Cofradía del Vino de Cangas. De carácter anual se celebra en el mes de octubre en torno a la festividad de Nuestra Sra. del Pilar. El acto principal es el nombramiento de nuevos Cofrades de Número, que se incorporan en ese momento como socios, y de Cofrades de Honor. Respecto a éstos últimos el nombramiento recae en personas de reconocida trayectoria profesional  y repercusión social que, mediante el juramento público, se comprometen a promocionar y dar a conocer las virtudes del Vino de Cangas. • Fiesta de la Vendimia. Colaboración con  la Asociación de Hostelería y el Ayuntamiento de Cangas del Narcea, en la programación y realización de diferentes actos. La Fiesta de la Vendimia se celebra todos los años a mediados del mes de octubre coincidiendo con el Gran Capítulo de la Cofradía. • Fiesta de Santiso y Llamas. Se colabora en la organización de esta fiesta tradicional con la Asociación de Vecinos de Santiso y Llamas. Se trata de un acto festivo de larga tradición relacionado con la presentación del primer vino del año. El objetivo es el de apoyar y revalorizar las tradiciones relacionadas con la cultura del vino. • Organización de actos de promoción de productos gastronómicos de Asturias. Este año la Cofradía ha organizado una actividad de maridaje entre el Quesu de Gamonéu y el Vino de Cangas, con el fin de dar a conocer a la población estos dos productos. La primera parte de este acto se ha desarrollado en Cibuyo (Cangas del Narcea) y la segunda en Cangas de Onís • Participación en actividades de promoción de productos gastronómicos, a través de la asistencia a Capítulos de otras cofradías, a nivel regional, nacional e internacional, en los que se promociona de forma especial el Vino de Cangas así como otros productos gastronómicos autóctonos de la zona. • Contacto a nivel nacional e internacional, a través de las Asociaciones FECOES y CEUCO, de las que se forma parte, con otros territorios del estado para promocionar el Vino de Cangas, en los que se  establecen y mantienen contactos con asociaciones afines para intercambio de información y experiencias.;;;;;;;43.177384,-6.549837;/documents/39908/66447/Vino_de_Cangas_1.jpg/29e5840b-8c5f-794b-ab58-090482eff9c2?t=1674194824417,/documents/39908/66447/Vino_de_Cangas.jpg/ea701594-547c-186d-e401-0cc633fd153c?t=1674194822854,/documents/39908/66447/Vino_de_Cangas_2.jpg/31477919-a460-477c-a9ee-3d6ea5cb50ca?t=1674194825127,/documents/39908/66447/VIno_de_Cangas_3.jpg/5102705c-a58d-20b6-bff5-58d1a60edad7?t=1674194825737;Cofradía del Vino de Cangas,Cofradía del Vino de Cangas,Cofradía del Vino de Cangas,Cofradía del Vino de Cangas;,,,
Cofradía del Chosco de Tineo;Tineo;Occidente de Asturias;;985 900 202;;;;;;;;;;;;Creada en agosto del 2011, La Cofradía del Chosco es una asociación gastronómica cuyo fin es difundir y divulgar las características del chosco de Tineo, así como su correcto consumo;Es lógico que Tineo tuviese una distinción especial con el producto más peculiar de Tineo, estrella de nuestra gastronomía y plato principal en fiestas y celebraciones. Después de más de cinco años de trabajo, el reconocimiento de la IGP abre una nueva etapa para la comercialización del Chosco de Tineo y el reconocimiento de la calidad de la producción cárnica de Tineo. Este nuevo reto lo quiere afrontar la reciente Cofradía del chosco de Tineo, siendo su estandarte la gastronomía que se ha de divulgar y promocionar por todo el territorio, no sólo autonómico, sino también nacional e incluso internacional. En resumen, la Cofradía del Chosco pretende ser el otro importante motor que impulse el Concejo de Tineo al exterior, aunando fuerzas con el Ayuntamiento, la hostelería, los empresarios y demás sector turístico y comercial. A lo largo del año se vienen realizando numerosas Jornadas Gastronómicas y eventos en los que, no sólo el chosco, sino el resto de los embutidos y la gastronomía tinetense tiene un papel importante. La colaboración entre la Hostelería del Concejo y los productores gastronómicos municipales, especialmente los productores del Chosco es fundamental a dado lugar a la creación de la Cofradía del Chosco de Tineo. En colaboración con la IGP del Chosco, la Cofradía del Chosco participa en el Festival Asturalimentaria que se celebra en el Campo de San Roque y que pone en relieve la importancia de un producto tan nuestro como es el Chosco de Tineo. Los actos a celebrar en esta feria son complementarios entre los tres organismos, todos ellos con el mismo fin: la difusión y comercialización del Chosco.;;;;;;;43.340002,-6.447362;/documents/39908/66474/Cofradia_del_Chosco.jpg/7fa01a1a-9981-5024-c8d7-378c70fa9263?t=1674194855101,/documents/39908/66474/Cofradia_del_Chosco_1.jpg/b1d3bd20-fa9a-9e54-4b5c-48393a1dba52?t=1674194855814,/documents/39908/66474/Chosco1.jpg/7c144bbf-6af5-712d-44e2-37dee8d724e1?t=1674194856398,/documents/39908/66474/Chosco2.jpg/291a883b-e4d8-a4e6-773e-193800b92488?t=1674194857082;Cofradía del Chosco de TIneo,Cofradía del Chosco de TIneo,Cofradía del Chosco de TIneo,Cofradía del Chosco de TIneo;,,,
Círculo Gastronómico de los Quesos Asturianos;Oviedo;Centro de Asturias;;687 368 481;cgquesosasturianos@gmail.com;www.circuloquesosasturianos.com;;;;;;;;;;El Círculo Gastronómico de los Quesos Asturianos, se constituyó el 25 de junio de 2013, dando forma oficial al "Grupo de Exaltación al Queso" creado en enero de 2012, que se reunía periódicamente cada cuarto jueves de mes;El 8 de febrero de 2014 ha realizado el acto de presentación oficial ante el resto de Cofradías Enogastronómicas del Principado de Asturias, autoridades y amigos, en el salón social de Cajastur en Oviedo. En él que han ejercido como padrinos la Cofradía de Amigos del Queso Gamoneu, la Cofradía del Queso Idiazabal y la Confraria del Queijo Serra da Estrela, a nivel regional, nacional e internacional respectivamente. Compuesto por veinte círculianos de número, cuenta con un círculiano de honor, el LILA (Laboratorio Interprofesional Lechero y Agroalimentario de Asturias) tiene su sede oficial en el restaurante La Genuina, sito en la calle Cimadevilla, en Oviedo y tiene como fines, de acuerdo con el artículo 2º de sus Estatutos: "El conocimiento de los productos derivados de la leche, tanto artesanales como industriales, prioritariamente de los quesos asturianos y su relación con la gastronomía". De acuerdo con su artículo 3º, realiza múltiples actividades para cumplir los fines sociales, que se concretan en celebrar reuniones mensuales, celebrar comidas de Exaltación a uno o más quesos, participar en certámenes y concursos que se celebren en la actualidad y fomentar la realización de otros nuevos en las distintas zonas de elaboración de quesos asturianos, asistir a actos y Grandes Capítulos organizados por Cofradías o Asociaciones Enogastronómicas, colaborar desinteresadamente con los Organismos, Entidades o Instituciones provinciales y estatales que soliciten nuestro asesoramiento, colaboración con el Ayuntamiento de Caso, se ha sumado la intermediación en marzo de 2014 con la Confraria Queijo Serra da Estrela y el Ayuntamiento de Oliveira do Hospital, en Portugal, para que los quesos asturianos fueran los invitados de honor en la XXIII Festa do Queijo Serra da Estrela, estando presentes en la misma queserías acogidas a las DOP Afuega´l Pitu y Casín, federarse o asociarse en aquellas organizaciones que puedan favorecer sus intereses, Realizar una gran fiesta anual…  ;;;;;;;43.360727,-5.844610;/documents/39908/66468/Circulo_Gastronomico_de_los_Quesos_Asturianos_2.jpg/039b2804-3702-2cb0-6b1a-976a9dd874f6?t=1674194847388,/documents/39908/66468/Circulo_Gastronomico_de_los_Quesos_Asturianos_3l.jpg/f20d70e3-c2b8-118d-f1b4-d7728cbe5741?t=1674194848129,/documents/39908/66468/Circulo_Gastronomico_de_los_Quesos_Asturianos.jpg/0ae3586e-004b-2f4c-be8f-95d790db9b75?t=1674194846162;Círculo Gastronómico de los Quesos Asturianos,Círculo Gastronómico de los Quesos Asturianos,Círculo Gastronómico de los Quesos Asturianos;,,
Quesería La Peñona;Pravia;Centro de Asturias;Somáu, 148;985 583 459 (Tfno. reservas) / 603 536 750;queseria@lapenona.com;;;;;;;;;;;Quesería La Peñona es una empresa de estructura familiar, situada en la pequeña localidad de Somáu en el concejo de Pravia;Después de sus casi 30 años de existencia, la empresa ha evolucionado adaptándose a las nuevas tecnologías surgidas en el campo de la industria agroalimentaria, con la finalidad de elaborar la gama de productos que comercializa con las mayores garantías de seguridad para sus clientes, cumpliendo con gran escrupulosidad todas las normativas vigentes en el ámbito de la elaboración artesanal de productos para el consumo humano derivados de la leche. Para la elaboración de las diferentes variedades de queso Afuega'l Pitu que producimos se utiliza única y exclusivamente leche de vaca procedente de diferentes explotaciones ganaderas ubicadas todas y cada una de ellas en los concejos adscritos a la Denominación de Origen Protegida. Los diferentes productos elaborados por la Quesería La Peñona, se distribuyen para su venta en pequeños y medianos comercios… En las visitas guiadas que realizamos, enseñamos el proceso de elaboración del Queso Afuega'l Pitu y al final de la misma realizamos una cata de nuestros productos.  ;Lunes a sábado: 12:00 a 15:00 h.;3,50 € / pax;;D.O.P Afuega'l Pitu;;Reservas: 985 583 459 / info@lapenona.com 4 plazas aparcamiento;43.529403,-6.118026;/documents/39908/66000/2021-queseria-la-penona+%281%29.jpg/91f84fd3-be84-c586-5577-a9ad55dd9871?t=1674194284751,/documents/39908/66000/2021-queseria-la-penona+%282%29.jpg/88ce6aba-7b0b-4de5-5a9a-b63db2be36ef?t=1674194285453,/documents/39908/66000/2021-queseria-la-penona+%283%29.jpg/fb433ee6-6088-470f-1b48-82c0a019e82a?t=1674194286046,/documents/39908/66000/2021-queseria-la-penona+%284%29.jpg/fca2f02f-1de4-d163-dcfb-c12b04cc8a44?t=1674194286638;Quesería La Peñona,Quesería La Peñona,Quesería La Peñona,Quesería La Peñona;,,,
Bodega Vidas;Cangas del Narcea;Occidente de Asturias;El Carrascal, 7. 33800. Cangas del Narcea;659 27 72 77;vidas@bodegavidas.com;https://bodegavidas.com/es/;;https://www.facebook.com/Bodega-VidAs-Cangas-118584991626595/;https://twitter.com/bodegavidas;;;https://www.instagram.com/bodegavidas/;;;;Visita a un  típico viñedo cangués y una cata de 3 vinos en bodega. ;Disfrute de una visita a un típico viñedo de Cangas y en su bodega saboree 3 de sus caldos.;Horario: Lunes, miércoles, viernes y domingo: 13:00 h. Duración aproximada: 1 hora y media. Imprescindible reserva previa.;5 € ;Sí;Siete Vidas (DOP) Cien Montañas (DOP)  ;;;43.184957, -6.551317;/documents/39908/65931/BodegaVidas2.jpg/d1238137-361c-05f3-bfb5-8f23b57953a7?t=1674194190393,/documents/39908/65931/BodegaVidas3.jpg/6b67a1d9-b7d3-25b2-ddda-8070af963c94?t=1674194191018,/documents/39908/65931/BodegaVidas1.jpg/9753797f-2baf-3ad2-7ef5-cfb30364a1cb?t=1674194189776,/documents/39908/65931/BodegaVidas4.jpg/75d25c21-723d-1c57-6462-f26d8cca0360?t=1674194191636;Bodega Vidas,Bodega Vidas,Bodega Vidas,Bodega Vidas;,,,
Quesería Maín;Cabrales;Oriente de Asturias;Barrio La Ería. 33554. Sotres;618 938 044;queseriamain@quesosdecabrales.es;https://quesosdecabrales.es/;;https://www.facebook.com/QueseriaMain/;https://twitter.com/cabralesmain?lang=es;;;https://www.instagram.com/queseriamain/;;;;Vistia guiada a una quesería de Cabrales, cueva de maduración y cata de quesos con sidra;Si quieres conocer los secretos del queso Cabrales en quesería Maín te enseñaremos todo el proceso. Visita a las instalaciones de la quesería, luego daremos un paseo de 15 minutos hasta llegar a la cueva de maduración y al final disfrutaréis de una cata de quesos cabrales, cuajada, mermeladas, dulce de manzana y sidra asturiana. Tenemos tienda ONLINE. Hacemos envíos a toda España (excepto Canarias). También realizamos envíos a Portugal.;Consultar aquí;;;Queso Cabrales (DOP);;;43.233430, -4.746548;/documents/39908/65994/Queseria_main_2.jpg/90f576c4-1c92-672f-b2f7-9665bb9b93cc?t=1674194279357,/documents/39908/65994/Queseria_main_1.jpg/29991964-740a-eda2-a3fb-e999b70f19bd?t=1674194278714,/documents/39908/65994/Queseria_main_3.jpg/57465472-c896-e7c4-ad0a-e250a2b4669b?t=1674194279922,/documents/39908/65994/Queseria_main_4.jpg/05822b37-b813-ef20-8848-356fb8a954a3?t=1674194280492;Quesería Maín exterior,Quesería Maín exterior,Quesería Maín cueva,Quesería Maín interior;,,,
Bodegas Antón Chicote;Cangas del Narcea;Occidente de Asturias;La Galiana, 88. 33817.Vi??arín de ??umés;985 810 934 / 637 867 569;bodegachicote@gmail.com;;;;;;;;;;;En las bodegas Antonio Álvarez Álvarez se dedican al cultivo de viñedos y a la elaboración de vino tinto con Denominación de Origen Protegida.;;Jueves a domingo: 12:30 h y 18:00 h. Imprescindible reserva previa.;Tarifas: 3 € persona;Sí;Vino tinto / Penderuyos;;Las visitas tienen una duración aproximada de 1 hora y deben de ser concertadas.;43.147844, -6.529348;/documents/39908/65946/Vinedos1.jpg/382cbc4f-e9d3-ffd5-6362-23f587201f54?t=1674194213240,/documents/39908/65946/Penderuyos.jpg/46bbfee0-7237-3e28-37b9-8f637a187947?t=1674194212053,/documents/39908/65946/Vinedos.jpg/efa29bdb-4c56-eafe-b9cf-ef12a126f2d9?t=1674194212661,/documents/39908/65946/BancalPiedra.jpg/c722352d-a3cf-e4f5-0591-4741a53087d4?t=1674194210769;Bodega Antonio Álvarez Álvarez,Vino Penderuyos de la Bodega Antonio Álvarez Álvarez,Viñedos de la Bodega Antonio Álvarez Álvarez,Bancal de piedra de la Bodega Antonio Álvarez Álvarez;,,,
Llagar Sidra Viuda de Angelón;Nava;Oriente de Asturias;Villa, 3. 33520. Nava;985 716 770;info@sidraviudaangelonpomar.es;https://www.sidraviudaangelonpomar.es/;;https://www.facebook.com/sidrapomar.viudaangelon;https://twitter.com/sidraangelon;;;https://www.instagram.com/sidraviudaangelon/;;;;Visita guiada a las instalaciones y degustación de alguna de nuestras sidras.;La visita se realiza en nuestras instalaciones de Villa en Nava. Se hace un recorrido por la pomarada que tenemos alrededor y por las instalaciones (bodega, zona de embotellado...) Posteriormente se hace degustación de alguna de nuestras sidras. Pueden realizar sus pedidos de Sidra (a partir de una caja) y desde toda España (exceptuando Ceuta y Melilla) en nuestra TIENDA ONLINE;Lunes a viernes (previa reserva) Duración: 1 h.;6 €/ persona (degustación y vaso incluidos);Si;Viuda de Angelón Prau Monga (DOP) Sidra Nueva Expresión 1947 Sidra Pomar Sidra sin Alcohol Pomarsin Sidra Pomar Rosée Zumo de manzana Chispas Sidra Ziber Sidra diamantes de hielo;;;43.367855, -5.523357;/documents/39908/65976/ViudaAngelon_1.jpg/12e8eb33-b5ca-d0f7-a414-99e3aa6bd87e?t=1674194254953,/documents/39908/65976/ViudaAngelon_2.jpg/c1bb96a0-3ab6-6f9f-21a9-285e2fa1653d?t=1674194255789,/documents/39908/65976/ViudaAngelon_3.jpg/16180e5b-6b25-6f28-1fdf-86d24b743cf9?t=1674194257272,/documents/39908/65976/ViudaAngelon_4.jpg/7713b793-3c32-252e-f2b5-9e7079a0cd89?t=1674194257857;Llagar Vda de Angelón,Llagar Vda de Angelón exterior,Llagar Vda de Angelón exterior,Llagar Vda de Angelón exterior;,,,
Leche Leche;Llanes;Oriente de Asturias;Covalayu. 33509 Porrúa;699 594 991;info@lecheleche.com;https://www.lecheleche.com;;https://www.facebook.com/Lecheporrua;;;;;;;;Todos los productos que elaboramos en LecheLeche, son productos 100% naturales de alta calidad y con tradición artesanal;En LecheLeche, invertimos en bienestar animal para conseguir productos con un sabor único y una calidad insuperable, queso, arroz con leche, yogures… Realizamos visitas guiadas, muy didácticas y amenas… Y si nos visitas aprenderás lo que es el día a día de las ganaderías de vacuno de leche. Podrás ver como se alimenta, se limpia y ordeña el ganado, y también como se transforma la leche en exquisitos productos. Tenemos una zona de degustación dónde te ofrecemos la posibilidad de disfrutar de nuestra propuesta gastronómica, pudiendo degustar quesos, croquetas, arroz con leche… por nosotros elaborados, y todo acompañado por sidra de la zona, para hacerte sentir como en una típica  "espicha". ¡¡¡Acercate a conocernos que no te arrepentirás!!!  ;Consultar ;Consultar;Sí;Queso fresco Croquetas Yogur Arroz con leche leche fresca;;Venta de productos online: http://www.lecheleche.com/la-tienda Reserva visitas: https://www.lecheleche.com/actividades;43.417561,-4.803712;/documents/39908/66021/2021-lecheleche+%281%29.jpg/fa3fa438-86c2-4ecf-0ddc-5efaf24bc73b?t=1674194307860,/documents/39908/66021/2021-lecheleche+%282%29.jpg/fcdf2dc2-1da7-8484-e24e-b7f0f782150c?t=1674194308474,/documents/39908/66021/2021-lecheleche+%284%29.jpg/5e2c436b-333a-6294-de53-d19e4a01bccb?t=1674194309622,/documents/39908/66021/2021-lecheleche+%283%29.jpg/578de610-09e5-7707-21b0-db94bab5d5d5?t=1674194309046;Quesería Leche Leche,Quesería Leche Leche,Quesería Leche Leche,Quesería Leche Leche;,,,
