Nombre;Zona;Tipo;Municipio;Localidad;Días;Email;Web;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Descripción Corta;Descripción;Coordenadas;Slide;Título;Url
Mercado Artesano y Ecológico de Gijón;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Gijón;Gijón/Xixón;Enero (11 y 12) Febrero (8 y 9) Marzo (8 y 9) Abril (17, 18, 19 y 20) Mayo (10 y 11) Junio (14 y 15) Julio (12 y 13) Agosto (15, 16 y 17) Septiembre (6, 7 y 8) Octubre (11, 12 y 13) Noviembre (8 y 9) Diciembre (6, 7 y 8);info@mercadoartesanoyecologico.com;http://mercadoartesanoyecologico.com/;https://www.facebook.com/MercadoArtesanoyEcologico/;;;;;;;;El Mercado Artesano y Ecológico de Gijón es un todo un referente cultural, artesanal, gastronómico y turístico de la ciudad de Gijón/Xixón, y como tal se ha consolidado después de 15 años de andadura;Se ha consolidado como un referente artesanal, gastronómico y turístico de Gijón. La calidad de sus productos es su principal distintivo y reclamo, junto con las actividades y talleres que viene organizando desde su nacimiento, hace dieciseis años, y que permiten a gijoneses y turistas acercarse a la cultura y realidad asturiana de una forma participativa y didáctica. Ubicado en la Plaza Mayor, en pleno corazón de Gijón/Xixón, se ha convertido en un esperado punto de encuentro con la artesanía asturiana, que se sucede el segundo fin de semana de cada mes. El Mercado se celebra el segundo fin de semana de cada mes en Gijón/Xixón a excepción de Semana Santa y el puente de la Constitución, en que modifica su fecha habitual para coincidir con esos días festivos dada la gran afluencia de turistas que visitan la ciudad. La oferta del Mercado es muy amplia, y siempre distinguida por su alta calidad. Las piezas de artesanía asturiana combinan tradición y modernidad. Son exclusivas, únicas, hechas a mano siguiendo los patrones de los antiguos oficios y muy valoradas en el ámbito nacional. El Mercado presenta una completa muestra de gremios, que incluye azabache, cuero, talla de madera, telar, repujado, joyería, vidrio, papelería, pintura, piedra, etcétera. En cuanto a la gastronomía, el público se deleita con productos ecológicos y tradicionales, como pan, embutidos, quesos, miel, mermeladas, frutas y huerta, entre otros muchos. Dentro de su vocación solidaria, el Mercado Artesano ofrece también una gama de productos procedentes de cooperativas de países del Sur que respetan las condiciones sociales y medio ambientales de los países de origen. Además de por su calidad y excelencia, se distingue de otras muestras por la singularidad que le confiere el hecho de que sean los propios artesanos quienes se encarguen de su desarrollo. La Asociación Mercado Artesano y Ecológico trabaja también para sorprender a los visitantes con nuevas actividades, exposiciones y talleres, cuyo objetivo es acercar la cultura y tradiciones asturianas a todo el público de una forma participativa y didáctica y amena. Más información;43.544909,-5.662528;/documents/39908/63516/Mercado+Artesano+y+Ecol%C3%B3gico+de+Gij%C3%B3n4.jpg/0e0d2456-e5cf-53cd-6a29-f77394eb59fb?t=1674191396322,/documents/39908/63516/Mercado+Artesano+y+Ecol%C3%B3gico+de+Gij%C3%B3n2.jpg/3b351d85-626a-6858-2449-f814feb4c29d?t=1674191395110,/documents/39908/63516/Mercado+Artesano+y+Ecol%C3%B3gico+de+Gij%C3%B3n6.jpg/008de685-fa9d-43f1-9c1e-66d9b4505847?t=1674191397670,/documents/39908/63516/Mercado+Artesano+y+Ecol%C3%B3gico+de+Gij%C3%B3n1.jpg/2fcde1bd-f96a-ea96-7e18-860842490585?t=1674191394474;Mercado Artesano y Ecológico de Gijón,Mercado Artesano y Ecológico de Gijón,Mercado Artesano y Ecológico de Gijón,Mercado Artesano y Ecológico de Gijón;,,,
Mercado Vaqueiro;Occidente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Cudillero;San Martín de Luiña;Agosto (3 y 4);;;;;;;;;;;O la fuerza de la tradición;El primer fin de semana de agosto San Martín de Luiña se convierte en una gran fiesta vaqueira, y es que su Mercado Vaqueiro es una de las grandes citas del verano asturiano en la comarca occidental. Múltiples actividades se organizan en torno a este mercado, entre otras, salidas a las brañas vaqueiras, pasacalles, cantares de chigre, grupos de gaitas, etc. No falta el momento para la cultura rural vaqueira tradicional de la zona, y por eso es posible ver buelles y carros del país, o la representación de una boda vaqueira. Eso sin olvidar la artesanía típica o los menús vaqueiros que se pueden degustar en los restaurantes de la zona. Y por supuesto, siempre hay actividades para niños. Se trata, en definitiva, de todo un homenaje a la cultura vaqueira y al mundo rural asturiano en un entorno privilegiado como es el de San Martín de Luiña. El Mercado Vaqueiro te acercará a toda una época y te permitirá pasar un rato de ocio diferente. Más información;43.544619, -6.224733;/documents/39908/45855/mercadillo1.jpg/4a9ac7a5-32dc-b000-cf59-1c72421459c9?t=1674174583068;Mercado Vaqueiro;
Foguera de San Xuan de Corvera;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Corvera de Asturias;Trasona/Tresona;23 Junio;;;;;;;;;;;Esta foguera representa la quintaesencia de la tradición popular vinculada al Beltaine celta, aunando mitología, creencia, ritos de paso y una profunda conexión con las culturas creativas del Arco Atlántico;Además otra característica que la hace única es que se trata de una foguera artística, diseñada por reconocidos escultores, constituyendo una de las más auténticas muestras de land-art que se dan en Asturias. Al mismo tiempo que se celebra la foguera, se desarrollan otras actividades culturales en paralelo como el tradicional enramado de las fuentes, actuaciones de música folk, talleres y seminarios sobre mitología, jornadas etnográficas y muchísimo ambiente de cultura celta y astur. Esta artística foguera, con más de veinticinco años de antigüedad, pone una nota de autenticidad y sabor en el inicio del verano en Asturias. Más información;43.534964, -5.878612;/documents/39908/63399/03364_Pantano_de_Trasona_Corvera.jpg/07ac966f-1242-3739-9a71-12f1e95e5b40?t=1674191241670,/documents/39908/63399/03365_Pantano_de_Trasona_Corvera.jpg/fbd5f0cb-dc47-b85e-aa3b-39bedca2092c?t=1674191242290,/documents/39908/63399/05384_Embalse_de_Trasona_Corvera.jpg/3cb4d822-98f0-504e-8bc9-7619306b064f?t=1674191243057;Pantano de Trasona,Pantano de Trasona,Embalse de Trasona;,,
Festival de la Manzana;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Villaviciosa;Villaviciosa;Octubre (14 y 15);;http://www.festivaldelamanzana.es/Festival-de-la-Manzana/Villaviciosa/Asturias;https://www.facebook.com/FestivaldelaManzana;https://www.twitter.com/ManzanaFestival;;;https://www.instagram.com/festivalmanzana;;;;Festival de la Manzana de Villaviciosa, una forma de conocer este fruto de infinitas posibilidades;El Festival de la Manzana de Villaviciosa es todo un homenaje a este sabroso y mítico fruto y una magnífica puesta en escena de todas aquellas actividades directamente relacionadas con este producto tan genuinamente asturiano y que de forma tan excelente y abundante se produce en la zona de Villaviciosa. Villaviciosa se vuelca en su festival - que habitualmente se celebra en octubre -, y lo hace con actividades tan variadas y entretenidas como jornadas gastronómicas, concursos, música, mercado de otoño, mercado de maquinaria, teatro, exposiciones, talleres, cocina en vivo, catas, actividades infantiles, tren turístico, etc. En este sinfín de actividades para todas las edades y gustos destacan las exposiciones de manzana y también las catas - que no son muy habituales -, así como los distintos talleres que acercan al gran público todo el universo que rodea la manzana y la sidra. Todo ello en un marco privilegiado como es la ilustre villa de Villaviciosa, con un interesante casco histórico, con muchos alicientes culturales y comerciales y siempre muy ambientada. Más información;43.481671, -5.432342;/documents/39908/63612/Festival_de_La_Manzana_Villaviciosa_2.jpg/70baff16-c6d4-3ca1-3328-183d60bc9b55?t=1674191512968,/documents/39908/63612/Festival_de_La_Manzana_Villaviciosa_1.jpg/b2bfa935-379b-4a1f-ad2f-38660315bfce?t=1674191511771,/documents/39908/63612/Festival_de_La_Manzana_Villaviciosa_3.jpg/a16fc1c5-3823-3aef-d6c7-d89148e01546?t=1674191513533,/documents/39908/63612/Festival_de_La_Manzana_Villaviciosa.jpg/f9478d88-f064-fa8e-dec7-2de2309d8e99?t=1674191511106;Festival de la Manzana,Festival de la Manzana,Festival de la Manzana,Festival de la Manzana;,,,
Desfile de Carrozas;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Siero;Valdesoto;12 Agosto;;;https://www.facebook.com/VIVEVALDESOTO;;;;;;;;Les carroces de Valdesoto: un canto a la tradición rural asturiana;Les Carroces de Valdesoto, que nacieron como fiesta en la segunda mitad del siglo XX, y que son tradicionalmente el remate final de las fiestas patronales de San Félix, son una de las citas más significativas en lo que a la exaltación de los usos y costumbres rurales de la Asturias de antaño se refiere. Muchas son las peñas del pueblo de Valdesoto - que cuenta con numerosos barrios - que se afanan en preparar la mejor carroza para el desfile que inunda las calles del pueblo. Una singularidad a destacar es que las de Valdesoto son carrozas muy "teatrales", donde en cada parada los ocasionales actores de la misma interpretan una escena relacionada con la temática que exhibe la carroza. Muchas de estas escenas beben de la tradición rural asturiana y le permiten al público conocer hábitos, artilugios y en definitiva toda una cultura que cada vez está más extinguida debido al paso del tiempo y los cambios sociales. El remate lo pone una buena merienda-cena de tipo asturiano en el "prao" de la fiesta, que se completa con el veredicto del jurado premiando a las mejores carrozas y una sesión de fuegos artificiales. Más información;43.363689, -5.654701;/documents/39908/63384/fit_carrozas_valdesoto1.jpg/f5b54dc0-49b7-ce96-0a3a-54423233c7f9?t=1674191225229,/documents/39908/63384/fit_carrozas_valdesoto2.jpg/95bf1627-d888-0522-03b9-1e059e1b702e?t=1674191225990;Carrozas de Valdesoto,Carrozas de Valdesoto;,
Feria de La Ascensión;Centro de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Oviedo;Oviedo/Uviéu;Mayo (10, 11 y 12);;;;;;;;;;;Feria de La Ascensión en Oviedo/Uviéu, un gran festival de asturianía;La Feria de La Ascensión de Oviedo/Uviéu, es ya una cita clásica en lo que a ferias de ganado se refiere, siendo uno de los certámenes más importantes de Asturias. La capital asturiana despliega en plena primavera todos sus atractivos, y con motivo de esta feria, monta un gran mercáu astur en la plaza de la catedral, con toda la ambientación tradicional asturiana, en un lugar estratégico y de gran valor histórico y de gran belleza como es el corazón del casco histórico de la ciudad. Paralelamente a la feria de ganado y al mercáu astur, la zona de la losa acoge un amplio espacio interactivo de exposiciones, actuaciones musicales y otras actividades culturales, a las que se suman miles y miles de personas. Todo el conjunto de actividades añade un plus al ambiente de la capital y su entorno. Más información;43.366130, -5.855628;/documents/39908/63615/Ascension_4.jpg/52b8a854-6778-be7e-780d-beefea85528b?t=1674191518961,/documents/39908/63615/Ascension_2.jpg/e227c02f-894e-19e1-b901-9615d10129bc?t=1674191517712,/documents/39908/63615/Ascension_3.jpg/bd01adb9-e463-9e3d-a0fd-b2bcadb05732?t=1674191518367,/documents/39908/63615/Ascension_1.jpg/641fa7dd-b54d-e873-45cb-03dcf5ee4db1?t=1674191516947;Feria de la Ascensión,Feria de la Ascensión,Feria de la Ascensión,Feria de la Ascensión;,,,
Fiesta Vaqueira;Occidente de Asturias;Fiesta de interés turístico del Principado de Asturias;Valdés;Braña de Aristébanu;Último domingo de julio;;;;;;;;;;;Fiesta Vaqueira en la Braña de Aristébanu: conociendo la historia y las tradiciones vaqueiras;La Fiesta Vaqueira, también conocida como la Vaqueirada, que se celebra cada año el último domingo de julio en la braña de Aristébanu, entre Tineo y Valdés. Es una de las fiestas más étnicas y originales de toda Asturias, porque en realidad se convierte en un divulgativo homenaje de la vida y costumbres de los Vaqueiros de Alzada, llegando a celebrarse una boda de verdad a la usanza vaqueira. Los Vaqueiros fueron y son un grupo étnico cultural de Asturias, de ancestrales orígenes que todavía hoy son motivo de investigación. Eran pastores trashumantes, que pasaban el verano en las brañas con el ganado, aprovechando las zonas de pasto de los puertos de montaña, y en el invierno regresaban a sus pueblos de invierno con su ganado y enseres. Los Vaqueiros se emparentaban entre ellos, desarrollando una cultura y folclore muy singular, y todo ello ha permanecido inalterable a lo largo de los siglos. Habitaron y habitan sobre todo en el occidente de Asturias. La verdad es que la Vaqueirada es como asistir al pase de un documental de antropología, eso sí con fiesta y algarabía. Es una celebración muy curiosa, diferente y animada. Más información;43.445219, -6.537525;/documents/39908/63594/Fiesta_Vaqueira_1.jpg/099b7fdf-af59-aace-677b-e88a3dd1bcc5?t=1674191481984,/documents/39908/63594/Fiesta_Vaqueira_2.jpg/d43e6596-8aa2-7e64-5156-cc12f134f566?t=1674191483502,/documents/39908/63594/Fiesta_Vaqueira_3.jpg/0e6dff37-ff6c-0974-a66b-edb1c3ac6ab7?t=1674191484103,/documents/39908/63594/Fiesta_Vaqueira.jpg/dae8ef63-7cf9-4698-ef30-ed29dab3f52c?t=1674191481180,;Fiesta Vaqueira,Fiesta Vaqueira,Fiesta Vaqueira,Braña de Aristébanu,;,,,,
Fiesta del Santo Cristo del Amparo;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Llanes;Nueva;Septiembre (13 y 14);;;;;;;;;;;Fiesta del Santo Cristo del Amparo en Nueva de Llanes, un brillante remate del verano;La Fiesta del Santo Cristo del Amparo de Nueva marca de alguna manera el final del ciclo veraniego. Cada 13 y 14 de setiembre este famoso pueblo llanisco de reconocida belleza celebra una de sus fiestas más características. Como suele ocurrir en los pueblos y las aldeas llaniscas, las tradiciones – especialmente las relativas a las danzas y las músicas – son de lo más relevante, y el Cristo no es una excepción. Así que el día 13 las bandas de gaitas y los bailes regionales copan buena parte del protagonismo, sobre todo la Danza del Cristo. El 14 es el Día grande, con misa e impresionante procesión. Las danzas siguen animando la fiesta y se repite la Danza del Cristo. Por la tarde, el protagonismo es de la Danza de los casados, y toda la alegría remata en una gran verbena, cuyo colofón final son las sopas de ajo. Más información;43.436128, -4.942910;/documents/39908/63567/fit_cristo_del_amparo1.jpg/86d18925-d4a2-4713-9321-6f210dcf2664?t=1674191447985;Fiesta del Santo Cristo del Amparo;
Fiesta de la Vendimia del Vino de Calidad de Cangas;Occidente de Asturias;Fiesta de interés turístico del Principado de Asturias;Cangas del Narcea;Cangas del Narcea;Octubre (11 a 13);;;;;;;;;;;Fiesta única en Asturias;La Fiesta de la Vendimia es única en Asturias, entre otras razones porque Cangas del Narcea es la única zona de producción vitivinícola del Principado, con una tradición que se remonta a la Edad Media y con un tipo de viñedos de montaña que hacen de esta viticultura una actividad verdaderamente heróica. Esta fiesta coincide cada año con el Puente del Pilar, en la primera quincena de octubre y son múltiples las actividades que se realizan en torno a la vendimia. Además de la incesante actividad y ambiente en los viñedos, la villa canguesa acoge feria y mercado de artesanía con todo tipo de productos de la tierra, así como catas de vinos, visitas guiadas al Museo del Vino, gastronomía vinculada al mundo del vino, etc. Numerosas cofradías se dan cita en Cangas del Narcea y tienen su propio desfile acompañadas de la Banda de Música local. Son cuatro días de auténtico culto a la cultura del Vino de Calidad de Cangas, donde podrás conocer todo sobre esta actividad que tiene rango milenario en el occidente de Asturias, y que de año en año se vuelve más multitudinaria. Más información;43.176058, -6.549189;/documents/39908/63633/lavendimia_1.jpg/320964c3-5b87-903b-f18c-c45d326a7085?t=1696315787876,/documents/39908/63633/lavendimia_2.jpg/a1037713-fefe-8e91-04ad-e27c0e1b0e01?t=1696315790560,/documents/39908/63633/lavendimia_3.jpg/29b042ce-311a-0854-d10e-feab1532f678?t=1696315791847,/documents/39908/63633/lavendimia_4.jpg/df98e295-1945-603b-eaf9-3b2c137d8079?t=1696315793167;Fiesta de la Vendimia,Fiesta de la Vendimia,Fiesta de la Vendimia,Fiesta de la Vendimia;,,,
Semana Santa en Avilés;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Avilés;Avilés;Semana Santa;;;;;;;;;;;La mejor forma de ponerse morado;La Semana Santa en Avilés es de vital importancia. La ciudad medieval de Asturias por excelencia celebra con pasión la Semana Santa y lo hace desde la ya lejana centuria del siglo XVII, si bien esta celebración tal como ha llegado a nuestros días toma su forma en la primera mitad del siglo XX. El marco del casco histórico de la ciudad es inigualable para la escenificación y rituales propios de la Semana Santa. El tránsito de los pasos procesionales por las antiguas calles jalonadas de soportales, plazas, iglesias, palacios y otros edificios nobles, cuyos estilos arquitectónicos perfectamente conservados significan un recorrido desde el siglo XII hasta la actualidad, transforman la ciudad en un perfecto escenario de cultura, historia y pasión. Miles de cofrades se echan a las calles, cada uno con su cofradía, y decenas de pasos, procesiones e imágenes inundan la Avilés ancestral e histórica. La ciudad entera vibra sobre sus piedras que rezuman pasado y presente apasionado. Y como colofón de tanta emoción, el final del calendario de procesiones da paso a la Fiesta del Bollo, declarada de Interés Turístico Nacional, y que tiene lugar el lunes de Pascua. Sin duda, el mejor remate para una Semana Santa única en Asturias y en España. Más información;43.555453, -5.922125;/documents/39908/63549/ss-aviles1.jpg/27c039c1-dfdd-4eba-2e2e-e8a2b64d3f18?t=1726652566823,/documents/39908/63549/ss-aviles2.jpg/54f3478f-0457-b4e2-ade7-23d51173318d?t=1726652568133,/documents/39908/63549/SSanta_Aviles1.jpg/da166e48-c87d-42f5-6453-f472f8f4dbb3?t=1674191430398;Semana Santa Avilés,Semana Santa Avilés,Semana Santa Avilés;,,
Fiesta del Pastor;Oriente de Asturias;Fiesta de interés turístico;Cangas de Onís;La Vega (Lago Enol);25 Julio;;;;;;;;;;;Fiesta del Pastor en La Vega (Lago Enol), en homenaje a la vida y la historia de un Pueblo Ejemplar;Una característica común a la mayoría de las fiestas asturianas es la belleza y amabilidad del entorno paisajístico y humano. La verdad es que la Fiesta del Pastor en La Vega (Lago Enol), en el concejo de Cangas de Onís, es un claro exponente de entorno espectacular donde los haya, porque se celebra en uno de los corazones por excelencia del Parque Nacional de Picos de Europa, que además es Reserva de la Biosfera. Los Lagos de Covadonga son uno de los lugares más conocidos del Parque, debido en gran parte a las grandes gestas ciclistas allí vividas y televisadas al mundo entero. En esta ocasión el homenaje está dedicado a los Pastores de Picos de Europa, colectivo que fue años atrás Pueblo Ejemplar de Asturias. Esta fiesta se celebra siempre el 25 de julio de cada año, y comienza con una misa campestre en la Capilla del Buen Pastor. A continuación, se reúne el Consejo de Pastores, para el reparto equitativo de pastos y para el elegir al Regidor. Y después deporte rural, artesanía, música de gaita, fiesta, gastronomía de chuparse los dedos donde no falta un buen queso de Cabrales o de Gamonéu, y como momento estrella la escalada a la Porra de Enol. Una jornada única para una inmersión en Picos de Europa y en su cultura del pastoreo. Por si fuera poco, la noche del 24 es la única de todo el año en la que está permitida la acampada libre. Más información;43.274258, -4.989293;/documents/39908/63432/Fiesta_del_Pastor.jpg/ef11c422-305b-ba8d-651a-c65239e65617?t=1674191283695,/documents/39908/63432/Fiesta_del_Pastor_1.jpg/193b07e8-c674-ec57-cc13-0e55edbc569f?t=1674191285843,/documents/39908/63432/Fiesta_del_Pastor_2.jpg/445b5a72-8b2d-2142-31c6-a7c3c7cc3a41?t=1674191286483,/documents/39908/63432/Fiesta_del_Pastor_3.jpg/b2d7b57d-0769-979b-bbfc-a50d89616696?t=1674191287089;Fiesta del Pastor,Fiesta del Pastor,Fiesta del Pastor,Fiesta del Pastor;,,,
Fiesta de las Piraguas - Descenso Internacional del Sella;Oriente;Fiesta de Interés Turístico Internacional;Parres - Ribadesella;Arriondas/Les Arriondes y Ribadesella/Ribeseya;3 agosto;;https://www.descensodelsella.com/;;;;;;;;;Fiesta de las Piraguas de Asturias, con la solera por bandera;Conocida también como Descenso Internacional del Río Sella, es una de las fiestas más populares dentro y fuera de Asturias. De carácter lúdico-deportivo, la Fiesta de las Piraguas mezcla con naturalidad y frescura todo el encanto e interés de una carrera de piraguas en aguas tranquilas, con una fiesta netamente asturiana, y todo en un escenario de auténtico privilegio, en las aguas y riveras del Río Sella, dado que la competición deportiva transcurre entre Arriondas/Les Arriondes y Ribadesella/Ribeseya, en la zona más oriental de Asturias. Esta carrera de piraguas es una de las más antiguas del mundo, y su nacimiento marca el origen del piragüismo español de competición en aguas tranquilas. Se trata por tanto de un gran acontecimiento deportivo en el que no falta ninguno de los "rituales" de la fiesta típica asturiana: música, desfile de charangas, sidra, y el "Asturias Patria Querida" marcando el inicio de la prueba, a escasos kilómetros de las imponentes cumbres de los Picos de Europa. La Fiesta de las Piraguas se celebra siempre el primer sábado de agosto, a no ser que dicho día sea 1 ó 2. Mira el Vídeo Más información;43.389726,-5.182773;/documents/39908/63423/el-fielato-y-el-nora+%284%29.jpg/86bddcae-8a94-3ddf-2315-45c2f86ac7d8?t=1691579681369,/documents/39908/63423/el-fielato-y-el-nora+%287%29.jpg/33fcc37f-5cd8-157a-bf2a-784b0a76cfc8?t=1691579685871,/documents/39908/63423/el-fielato-y-el-nora+%289%29.jpg/b9676507-9c9a-96b3-0f06-c72de04000b4?t=1691579687386,;©El Fielato y El Nora - Fiesta de las Piraguas - Descenso Internacional del Sella (2023),©El Fielato y El Nora - Fiesta de las Piraguas - Descenso Internacional del Sella (2023),©El Fielato y El Nora - Fiesta de las Piraguas - Descenso Internacional del Sella (2023),©Esther Canteli - Vídeo Fiesta de las Piraguas - Descenso Internacional del Sella (2023);,,,https://www.youtube.com/watch?v=35dwTTOCwjQ
Fiesta de Santa María Magdalena en Llanes;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Llanes;Llanes;22 Julio;;;;;;;;;;;La joguera más bailona;El Día Grande es el 22 de julio, festividad de Santa María Magdalena. En Llanes este día lo anuncian los voladores a las ocho de la mañana. Más tarde, un pasacalles, formado por los integrantes y simpatizantes del bando, recorre la Villa al compás del pasodoble "El Magdaleno", interpretado por la banda de música, para finalizar en la plazuela de La Magdalena. Desde allí comienza el traslado procesional de la Santa hacia la Basílica, donde tiene lugar la Misa Solemne. Finalizada la Santa Misa se forma la procesión, que discurre por el denominado "Barrio de la Magdalena." Una vez depositada la Santa en su capilla, comienza el gran Festival Folklórico, a cargo de miembros del bando. Consta de composiciones propias – aparte del genuino Pericote llanisco-. Al finalizar se forma la Danza de San Joaquín (variedad de la Danza Prima), que continúa hasta a la capilla, donde finalizan los actos de la mañana. Después del almuerzo se ofrece un concierto a cargo de la banda de música que interpreta piezas clásicas junto a las composiciones exclusivas del bando. A continuación, comienza la romería, hasta el anochecer cuando se forma de nuevo la Danza Prima hasta la capilla. Por la noche, una gran verbena pondrá el punto final. Más información;43.421198, -4.754347;/documents/39908/63573/Fiesta_de_Santa_Maria_Magdalena_Llanes_1.jpg/94e1739f-cdc2-4e3b-a266-b5a4c402affa?t=1674191456448,/documents/39908/63573/Fiesta_de_Santa_Maria_Magdalena_Llanes_2.jpg/1a8eb57c-cd0b-774b-bc86-89c1fabe69dd?t=1674191457120,/documents/39908/63573/Fiesta_de_Santa_Maria_Magdalena_Llanes_3.jpg/374e51af-e2bf-ac90-0622-71a9441777fe?t=1674191458031,/documents/39908/63573/Fiesta_de_Santa_Maria_Magdalena_Llanes.jpg/12821048-26dd-bb60-940c-fe3172bb1a5c?t=1674191455861;Fiesta de Santa María Magdalena,Fiesta de Santa María Magdalena,Fiesta de Santa María Magdalena,Fiesta de Santa María Magdalena;,,,
Romería de los Santos Mártires de Valdecuna;Centro de Asturias;Fiesta de interés turístico del Principado de Asturias;Mieres;Insierto. Cuna;27 Septiembre;;;;;;;;;;;Romería de los Santos Mártires de Valdecuna, haciendo los honores a San Cosme y San Damián;Eran dos santos que conocían bien la ciencia médica y farmacéutica de su tiempo y venían del oriente. Se llamaban San Cosme y San Damián, y con el transcurrir del tiempo fueron cogiendo fama de milagreros, y así fue como la devoción y la memoria popular hizo de la Romería de los Santos Mártires de Valdecuna, en Mieres, una de las más famosas de Asturias. Cada 27 de setiembre el Valle de Cuna y Cenera se llena de miles de romeros dispuestos a seguir la misa, y después todos se acomodan en las proximidades del santuario y por todo el valle para dar buena cuenta en perfecta armonía de una comida asturiana campestre, regada con la mejor sidra. Asturianía, devoción en verde, paisaje de increíble belleza, y fiesta sin parar. Así son los Mártires de Valdecuna, y además, con una nota muy singular: el popular cantautor mierense Víctor Manuel compuso una conocidísima canción titulada "La Romería", inspirada en esta fiesta. Así que es la única romería de Asturias con canción de autor.  Más información;43.220928, -5.806572;/documents/39908/63591/Romeria_de_los_Santos_Martires_de_Valdecuna.jpg/3ac69ed2-5acb-38b8-84fc-7cb88b35d052?t=1674191476220,/documents/39908/63591/Romeria_de_los_Santos_Martires_de_Valdecuna_2.jpg/e13b3b84-15b4-0caf-69b0-a400eb6276f8?t=1674191477633,/documents/39908/63591/Romeria_de_los_Santos_Martires_de_Valdecuna_1.jpg/3720cade-fb5c-c14e-f11a-a06c7703443e?t=1674191476944,/documents/39908/63591/Romeria_de_los_Santos_Martires_de_Valdecuna_3.jpg/7c8deb75-66e6-e4ca-b750-c5c314931c12?t=1674191478265;Romería de los Santos Mártires de Valdecuna,Romería de los Santos Mártires de Valdecuna,Romería de los Santos Mártires de Valdecuna,Romería de los Santos Mártires de Valdecuna;,,,
Mercáu Tradicional de Oles;Oriente de Asturias;Fiesta de Interés Turístico del Principado de Asturias;Villaviciosa;Oles;Primer fin de semana de agosto;;;https://www.facebook.com/FiestesDeOles;;;;;;;;Mercáu tradicional de Oles o un viaje al corazón de las tradiciones astures;El Mercáu astur de Oles es un auténtico viaje a las tradiciones astures, que recrea con fidelidad en toda su esencia. Desde hace tres lustros este mercáu se han convertido en una cita veraniega ineludible en la primera quincena de agosto en la costa central asturiana, y en pleno territorio mariñan. No es casual que este viaje al corazón de las tradiciones tenga lugar en Oles, pues es una zona de Asturias de fuerte arraigo y acervo cultural astur. Durante todo el fin de semana las actuaciones teatrales, los humoristas, los artesanos, los músicos, etc. ponen la nota de color y ambiente en este mercáu donde se realizan muestras de labores y oficios artesanos relacionados con el azabache - en la zona existen importantes yacimientos azabacheros -, la madera, el barro o la cerámica, entre otros. En realidad, buena parte del éxito del mercáu se debe a que se ha convertido en un gran encuentro de artesanos. Más información;43.539607, -5.427963;/documents/39908/63540/2022-mercau-oles.jpg/a9a4a4d0-5f28-9182-3cf3-f2ba91d9bbbb?t=1674191418626,/documents/39908/63540/Mercau_tradicional_de_Oles_1.jpg/aed9a9fc-5a39-2dd7-a4f6-ed71917207f7?t=1674191419860,/documents/39908/63540/fit_Mercau_Oles1.jpg/5efc610b-0681-4c6e-06fc-113a307d7eae?t=1674191418026,/documents/39908/63540/Mercau_tradicional_de_Oles_3.jpg/1895d186-e5bd-9070-5f31-dddaa5d7539d?t=1674191422018;Mercáu Oles,Mercáu Oles,Mercáu Oles,Mercáu Oles;,,,
Día de Asturias;Centro de Asturias;Fiesta de interés turístico nacional;Gijón;Gijón/Xixón;4 agosto;;;;;;;;;;;Día de Asturias, despliegue de asturianía;El Día de Asturias es un clásico del verano en esta ciudad y se celebra siempre el primer domingo del mes de agosto. Tras una jira campestre en el Cerro de Santa Catalina, hay un desfile de carrozas y grupos folclóricos asturianos y de otras regiones y países por el paseo del Muro de San Lorenzo hasta el Estadio del Molinón, donde se pone el colofón con un gran festival. Esta fiesta es el preludio de la Semana Grande gijonesa, que comienza pocos días después, y es un exponente de tradicional hospitalidad de la ciudad hacia personas y grupos llegados del mundo entero para participar y poner una nota de color y exotismo en este festival. El Cerro de Santa Catalina, los Jardines del Náutico, la Plaza Mayor, el Muro de San Lorenzo y el Estadio del Molinón son escenarios típicamente gijoneses, y todos en el entorno costero de la ciudad, lo que hace que la fiesta tenga, además del componente lúdico, unos paisajes de excepcional belleza. Más información;43.548723, -5.663105;/documents/39908/63630/Dia_Asturias_Gijon_3.jpg/16adb9e4-6f90-3f1e-8481-1e8ad14fadf9?t=1674191538900,/documents/39908/63630/Dia_Asturias_Gijon_2.jpg/4822b357-984b-7531-74c3-badcfef942c9?t=1674191538258,/documents/39908/63630/Dia_Asturias_Gijon.jpg/4fb06143-b9cc-12b6-b568-e22836cc8980?t=1674191536893,/documents/39908/63630/Dia_Asturias_Gijon_1.jpg/c2ae1d5b-9b81-3c72-40ef-bf9550fd3a2f?t=1674191537678;Día de Asturias,Día de Asturias,Día de Asturias,Día de Asturias;,,,
