Nombre;Concejo;Zona;Plazas;Precio;EstanciaMaxima;Tipo;Acceso;FechaDeCierre;Servicios;Dirección;Teléfono;Email;Título;Descripcion;Coordenadas;Slide;Título;Url;Observacion;MasInformacion
Área autocaravanas de Tineo;Tineo;Occidente de Asturias;2;Gratuita;48 h.;Pública;Si se llega desde la N-634, en la rotonda de la entrada, de frente hacia el centro urbano por la avenida de Oviedo y seguir indicaciones del albergue municipal. Unos metros antes está el área.;;Pernocta posible Punto ecológico cambio de aguas En caso de estar ocupadas las plazas se permite estacionar en el recinto ferial No se permite sacar mesas, sillas, etc Todos los servicios en el casco urbano Más información: 985 900 202;C/ Cabezas de San Juan, 1 (junto al Albergue Municipal de Peregrinos). 33879. Tinéu;985 900 202 / 985 801 084;;;;43.336111,-6.407500;/documents/39908/62142/casas-con-galeria-conjunto-historico-de-tineo.jpg/e8917810-830b-f9cb-97b8-cee73476e998?t=1674187884767,/documents/39908/62142/mercadillo-semanal-de-tineo.jpg/94970dca-07b1-868d-7df4-49f199795178?t=1674187885423,/documents/39908/62142/palacio-de-meras.jpg/bf79d887-fad4-dc66-7822-df8934a0475f?t=1674187886179,/documents/39908/62142/vista-panoramica-de-tineo.jpg/356ab3d4-4c6e-0869-d4f2-717e76eb8de8?t=1674187886805;Casas con galería en el Casco Histórico de Tinéu,Mercadillo semanal en Tinéu,Palacio de Merás en Tinéu,Vista panorámica de la Villa de Tinéu;,,,;;
Área autocaravanas de Overo;Corvera de Asturias;Centro de Asturias;17;Gratuita;72 h.;Pública;AI-81, ronda Parque Astur, AS-389  ;;Pernocta posible  Agua potable Vaciado aguas grises  Vaciado aguas negras Servicios hostelería Supermercado / tienda Gasolinera próxima <10km. Zona Pic-nic Transporte público Parking   ;Overo. Trasona. AS-389;9850505 769;alcaldia@ayto-corvera.es;;;43.544167,-5.883056;/documents/39908/62196/%C3%81rea_Autocaravanas_Corvera_de_Asturias.jpg/e4b04113-902f-08f2-6cc3-619251b5879c?t=1697707191271,/documents/39908/62196/bienvenida-a-corvera.jpg/87587a95-e38a-2604-c08c-9c942bef9545?t=1674187939500,/documents/39908/62196/piraguistas-embalse-trasona.jpg/fe2c0791-ca51-f17a-fc48-a7e556f304e7?t=1674187940875,/documents/39908/62196/palacio-penalver-corvera.jpg/d8fca0d7-26bd-868e-1d97-78f03cf06fe4?t=1674187940101,/documents/39908/62196/area-recreativa-de-gabitos.jpg/aa4c6a7f-caf5-2723-075d-4e152b1b8282?t=1674187938881;Área de Autocaravanas de Corvera,Bienvenido a Corvera,Piragüistas en el Embalse de Trasona,Palacio de Peñalver en Corvera,Área recreativa de El Gavito en Corvera de Asturias;,,,,;;
Área de autocaravanas de Cangas del Narcea;Cangas del Narcea;Occidente de Asturias;2;Gratuita;72 h.;Pública;Se localiza en el casco urbano de Cangas del Narcea. Se accede desde las carretera AS-15 Cornellana – Puerto de Cerredo y la carretera AS-213 Cangas del Narcea – Puerto de Leitariegos.;;Pernocta posible Vaciado aguas grises Vaciado aguas negras Agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Transporte público < 10 km;La Cortina s/n 33800;985 813 812 / 985 811 498;turismo@ayto-cnarcea.es,turismo@ayto-cnarcea.es;;;43.18083,-6.54889;/documents/39908/62217/2022-entorno-area-autocaravanas-cangas.jpg/9b60135f-4289-7eee-a582-203fb2e08872?t=1674187963192,/documents/39908/62217/Areautocaravanas-CNarcea1.jpg/0685e821-d43a-5ba2-cbba-5457c196ee81?t=1674187960005,/documents/39908/62217/Areautocaravanas-CNarcea2.jpg/c77589e1-c35c-9a4f-84f4-57a385e4197f?t=1674187961355,/documents/39908/62217/Areautocaravanas-CNarcea3.jpg/5228c6d5-9601-19c7-5e5b-637b6f8efbff?t=1674187961967,/documents/39908/62217/Autocaravanas_cangas_del_narcea%283%29.jpg/5f334df6-4801-b4c5-e3e2-a9aa35422c99?t=1699364866490;Entorno del Área de autocaravanas de Cangas del Narcea,Área autocaravanas Cangas del Narcea,Área autocaravanas Cangas del Narcea,Área autocaravanas Cangas del Narcea,Área autocaravanas Cangas del Narcea;,,,,;;
Parking autocaravanas de Buyera (Santo Adriano);Santo Adriano;Centro de Asturias;10;;;Pública;Desde Oviedo, autovía A-63 (Grado-La Espina) hasta Trubia. Tras cruzar el puente sobre el río Nalón, tomar desvío a la izquierda por la carretera AS-228. Poco antes de llegar a Proaza, está el parking a la izquierda.;;Pernocta posible Zona infantil Zona pícnic Admite mascotas Piscisna y duchas (próximas);Carretera AS228, km 12,300. 33115. Santo Adriano;;;;;43.263889,-6.004444;/documents/39908/62184/molina-%281%29.jpg/b3ae16d6-f9c6-e03d-09e3-ebb43f183e13?t=1674187928084,/documents/39908/62184/estatua-osa-con-cria-senda-del-oso-santo-adriano.jpg/0e20eae6-015d-ca45-22ba-289a2238a4c0?t=1674187927527,/documents/39908/62184/molina-%282%29.jpg/776ed1dd-a104-d72d-693e-a70fa11dffa4?t=1674187928715,/documents/39908/62184/senda-del-oso-a-su-paso-por-santo-adriano.jpg/0bb2f381-0730-7b98-4481-a5bdd19c4002?t=1674187929319;Osa Molina en el cercado osero de Buyera,Estatua de osa con cría en la Senda del Oso a su paso por Santo Adriano,Osa Molina en el cercado osero de Buyera,En bicicleta por la Senda del Oso su paso por Santo Adriano;,,,;Aparcamiento autorizado para el estacionamiento y pernocta de autocaravanas. No se permite desplegar mesas, sillas y demás elementos de acampada.  ;
Parking autocaravanas Senda del Oso (Entrago);Teverga;Centro de Asturias;25;Gratuita;;Pública;Desde la misma carretera AS-228, antes de llegar a Teverga, en Entrago, a mano derecha hay un cartel indicador de Parking Senda del Oso. Al inicio está el área y un poco más allá el parking.;;Pernocta posible Gasolinera < 10 km Zona de juegos Zona de pícnic Restaurante (próximo);33111. Entrago;;;;;43.17000, -6.09694;/documents/39908/62130/senda-del-oso.jpg/58b8e132-48ce-db7a-89aa-37bf6826f7bc?t=1674187875422,/documents/39908/62130/escuela-escalada-senda-del-oso.jpg/ce25aa26-95f3-ca6f-19f8-8d97072f6945?t=1674187874848,/documents/39908/62130/ciclistas-en-la-senda-del-oso.jpg/309576d7-84bd-57f4-1f5b-4763ac01dfe5?t=1674187874170,/documents/39908/62130/cartel-indicador-senda-del-oso.jpg/9b188939-bd2d-a6d8-eedc-bda846bbb354?t=1674187873274;Senda del Oso,Escuela de escalada en la Senda del Oso,Cicloturistas en la Senda del Oso,Cartel indicador de la Senda del Oso;,,,;;
Área autocaravanas de Llanes;Llanes;Oriente de Asturias;19;Pernocta: 6€/noche Uso servicio de agua: 2€;48 h.;Pública;Entrada oeste de Llanes;;Pernocta posible Craga agua potable Vaciado aguas grises Vaciado aguas negras Servicios de hostelería (próximos) Supermercado/tienda (próximos) Zona pícnic Gasolinera < 10 km Transporte público < 10 km Piscina (próximo);Avda. La Talá. 33500. Llanes;927 208 764;web@areaspla.com;;;43.423611,-4.767500;/documents/39908/62136/Llanes-4.jpg/2c5101ce-2408-9bb4-fe22-54b0e35e34ac?t=1674187881754,/documents/39908/62136/Llanes-2.jpg/983e3046-7355-0781-f65a-4ec93200d417?t=1674187879914,/documents/39908/62136/Llanes-1.jpg/05c1e87f-a378-7269-804e-b100ea89da3a?t=1674187878726,/documents/39908/62136/Llanes-3.jpg/f0391294-ce58-a9a7-1c24-2baa1b77550f?t=1674187881181;Área de autocaravanas de Llanes,Área de autocaravanas de Llanes,Área de autocaravanas de Llanes,Área de autocaravanas de Llanes;,,,;;
Área Municipal de Autocaravanas de Salas;Salas;Occidente de Asturias;8;Gratuitio;72 h.;;;;Pernocta posible  Agua potable  Vaciado aguas grises  Vaciado aguas negras Servicios hostelería Supermercado / tienda Gasolinera próxima < 10 km.  Zona Pic.-nic Vigilancia  Aparcamiento Lavandería autoservicio (a unos 400 metros);Avenida de Llaniello, 10 33860 Salas;985 830 988;turismo@ayto-salas.es;;;43.40417,-6.25556;/documents/39908/2527638/%C3%81rea_Autocaravanas_de_Salas+%282%29.jpg/93938344-507c-d209-e885-cf363642b1a2?t=1697781915075,/documents/39908/2527638/%C3%81rea_Autocaravanas_de_Salas+%281%29.jpg/fbafa5f7-5e30-1b13-a111-b2ba55bd51b0?t=1697781912870,/documents/39908/2527638/%C3%81rea_Autocaravanas_de_Salas+%283%29.jpg/768d97c2-56b5-811e-54a9-ac02813d3f53?t=1697781916532,/documents/39908/2527638/%C3%81rea_Autocaravanas_de_Salas+%284%29.jpg/14d70f10-1cb8-df5e-c694-71c0dba029d3?t=1697781917858;Área Municipal de Autocaravanas de Salas 1,Área Municipal de Autocaravanas de Salas 2,Área Municipal de Autocaravanas de Salas 3,Área Municipal de Autocaravanas de Salas 4;,,,;;
Parking autocaravanas Avenida Gijón (Avilés);Avilés;Centro de Asturias;5;Gratuita;48 h.;Pública;Accesos: Salida hacia AI-81/Avilés/N-633/ Puerto 750 m. Mantenerse a la derecha en la bifurcación, seguir las señales de AS-19/Tabaza y pasar a Av. de Gijón/AS-129 49 m. Incorporarse a Av. de Gijón/AS-19, hay una gasolinera de Repsol y justo después, un parking y el área.;;Pernocta posible Entorno urbano Vaciado aguas grises Vaciado aguas negras Carga agua potable Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km;Avda. Gijón. 33402. Avilés;Ayuntamiento: 985 122 100 / Policía local: 985 525 410;;;;43.551194,-5.913619;/documents/39908/62211/paseo-de-la-ria-aviles.jpg/10d98e0d-f51b-8d91-fbbd-77a32d1eed3b?t=1674187956251,/documents/39908/62211/Autocaravanas_Aviles3.jpg/cfea857e-f1a0-9326-f7b0-230f671ce2bc?t=1674187955682,/documents/39908/62211/Autocaravanas_Aviles2.jpg/f4d86d45-7dad-cfd9-8955-468756ac3422?t=1674187955043,/documents/39908/62211/Autocaravanas_Aviles.jpg/681cea79-2ada-072c-89e4-a64f0e82080b?t=1674187954458;Paseo de la Ría en Avilés,Área para autocaravanas de Avilés,Área para autocaravanas de Avilés,Área para autocaravanas de Avilés;,,,;;
Área autocaravanas de Santa Eulalia (Morcín);Morcín;Centro de Asturias;10;;;Pública;Desde Oviedo y Mieres se llega por la N-630. Una vez en el pueblo hay que pasar por el centro de Santa Eulalia para dirigirse al área, ya que hay un problema con la cartografía y en otro caso los navegadores te llevarán por una antigua pista que ya no existe.  ;;Pernocta posible Carga agua potable Vaciado aguas grises Vaciado aguas negras Restaurante/Cafetería (próximos) Supermercado (próximo) Zona pícnic Admite mascotas;Calle Pumarín, 9. 33162. Santolaya;985 783 178;;;;43.281389,-5.873333;/documents/39908/62166/vistas-desde-penerudes-con-los-alfilorios-al-fondo.jpg/005fad41-6878-100d-4444-16f0475864f8?t=1674187911057,/documents/39908/62166/torreon-penerudes.jpg/4ab1be12-bf25-1e3d-9f4c-b1f02ae2f3a4?t=1674187910456,/documents/39908/62166/embalse-de-los-alfilorios.jpg/418aa6fb-2d55-2f4c-b8b5-39f0ce5dc4be?t=1674187909084,/documents/39908/62166/penerudes.jpg/ee3d6e21-2435-b260-dfc8-d15d8afb83df?t=1674187909690;Vistas desde Peñerudes con los Alfilorios al fondo,Torreón de Peñerudes,Embalse de los Alfilorios,Peñerudes;,,,;Situada al lado de un área recreativa con mesas para picnic. Los servicios de hostelería compras, farmacia, etc… están en el pueblo, a unos 300 m. cruzando el área recreativa.;
Área autocaravanas de Grandas de Salime;Grandas de Salime;Occidente de Asturias;2;Gratuita;48 h.;Pública;Desde Navia y Boal por la A8-12. Justo al cruzar la villa a la derecha. Desde Pola de Allande por la AS-14 en la primera calle a la izquierda a la entrada de Grandas.;;Pernocta posible Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera <10 Km Piscina cercana (julio y agosto) Aparcamiento (julio y agosto) Área recreativa (próxima);C/ Pedro de Pedre, 11. 33730. Grandas de Salime;985 627 021 (Ayto. Grandas de Salime);;;;43.215657, -6.875983;/documents/39908/62202/07256_Grandas_de_Salime.jpg/2dc59dc9-7a3c-7b6c-26bc-41c89c7d7ae7?t=1674187947505,/documents/39908/62202/DSCN4105.jpg/d33c033b-253f-2fda-14f5-836a06ef0ad1?t=1674187945390,/documents/39908/62202/embalse-grandas-de-salime.jpg/f19b5023-2297-3c9e-c084-8ef528598349?t=1674187944034,/documents/39908/62202/AreaAutocaravanasGrandasdeSalime.jpg/617e1fff-86f0-f7b6-77d8-eea7fb1ef546?t=1674187944726;Vistas de Grandas de Salime,Área Autocaravanas de Grandas de Salime,Embalse de Grandas de Salime,Área Autocaravanas de Grandas de Salime;,,,;;
Área autocaravanas Avia-Cudillero;Cudillero;Occidente de Asturias;5;Gratuita;;Pública;Desde la Autovía del Cantábrico [A-8/E-70] tomar la salida 431 hacia Cudillero. Una vez en la rotonda tomar la primera salida hacia la derecha (N-632), dirección Muros de Nalón. A pocos metros en una mini-rotonda, coger la segunda salida (N-632). A pocos metros, a la derecha, está el devío hacia la gasolinera. ;;Pernocta posible Vaciado aguas negras Vaciado aguas grises Agua potable Gasolinera próxima < 10 km Vigilancia Parking;;;;;;43.554748, -6.166650;/documents/39908/62115/Avia-%281%29.jpg/bae412ad-cbfc-67a2-45d0-d2645b2348c3?t=1698149613821,/documents/39908/62115/Avia-%282%29.jpg/f5544876-20e7-43ae-a470-6bca4314891a?t=1698149615393,/documents/39908/62115/Avia-%283%29.jpg/c322199c-7663-ed84-7663-f9655da07672?t=1698149616771,/documents/39908/62115/Avia-%284%29.jpg/dc06c9df-1e4a-6308-2998-eaa44bae526d?t=1698149618259;Avia 1,Avia 2,Avia 3,Avia 4;,,,;Los servicios de cambio de aguas son gratis para los clientes de la gasolinera. No hay plazas reservadas para Acs, pero se puede pernoctar en el parking. Dispone además de tienda, venta de gas y zona de lavado. Vigilancia por cámaras las 24 horas. ;
Área autocaravanas de El Angliru (Riosa);Riosa;Centro de Asturias;15;Pernocta + cambio de aguas: 5€/día Sólo cambio de aguas: 3€;48 h.;Privada;Desde la A-66, salida 44 y seguir por N-630 hacia Oviedo. A la altura del km. 41, salir por la AS-231 hacia La Foz/Riosa. Al llegar a La Vega de Riosa, tomar la RI-2 hacia Grandiella y después la RI-5 hacia el Mirador del Angliru.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Zona pícnic Parque infantil;33160. Grandiella/Grandie??a;984 243 826;;;;43.24806,-5.90667;/documents/39908/62232/area_Angliru1.jpg/2ba06d91-4b9a-ce57-ed33-82f3313eaee4?t=1674187976374,/documents/39908/62232/el-angliru+%287%29.jpg/4a221f32-dae4-b28b-61e6-49a948f1f76b?t=1674187981795,/documents/39908/62232/el-angliru+%281%29.jpg/bf479d91-292d-6eec-34fd-d5c52d3a55cf?t=1674187977020,/documents/39908/62232/el-angliru+%285%29.jpg/78174191-a893-47b6-5f68-7eab4bb29c0a?t=1674187980375;Subiendo a El Angliru,Carretera de subida a El Angliru,Carretera de subida a El Angliru,Carretera de subida a El Angliru;,,,;;
Área autocaravanas de Jarrio (Coaña);Coaña;Occidente de Asturias;10;;48 h.;Pública;Acceso por la A-8 , desvío a la carretera N-634 y tomar nuevamente desvío hacia Hospital Comarcal de Jarrio, pasado éste, girar a la izquierda por CÑ-6. Inmediatamente, girar a la derecha al Área (entre farmacia y cafetería).;;Pernocta posible Agua potable Vaciado aguas grises  Vaciado aguas negras Gasolinera próxima< 10km.  Vigilancia Wifi;33719. Xarrio;679 810 007 / 985 630 801;areadeturismo@ayuntamientodecoana.com;;;43.5462855,-6.7464426,197;/documents/39908/62277/COA%C3%91A.jpg/1bc15bfd-8740-2f02-75e6-305af50bd523?t=1698060603147,/documents/39908/62277/COA%C3%91A2.jpg/c591532d-3405-9b17-e115-6511fbed1c68?t=1698060605385,/documents/39908/62277/COA%C3%91A3.jpg/aa27ee35-c806-db88-95cd-9d2d43ff2e39?t=1698060606935,/documents/39908/62277/COA%C3%91A4.jpg/826e4d60-f879-c8eb-a912-b52c9bcfe3c9?t=1698060608511;Área de autocaravanas de Jarrio 1,Área de autocaravanas de Jarrio 2,Área de autocaravanas de Jarrio 3,Área de autocaravanas de Jarrio 4;,,,;;
Área autocaravanas del Pozo Entrego (L' Entregu/El Entrego);San Martín del Rey Aurelio;Centro de Asturias;3;Gratuita;48 h.;Pública;Acceso por la carretera AS-13, tomar la salida al Entrego, frente al MUMI. El área está al final de la seguir toda la Avenida de la Vega.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera < 10 km Parque infantil;Avda. de la Vega. 33940. L' Entregu/El Entrego;;;;;43.286389, -5.638889;/documents/39908/62286/el-entrego.jpg/81091c98-c7c7-42a4-871a-603ac018cfea?t=1674188030024,/documents/39908/62286/mumi-el-entrego.jpg/45c3101e-9b86-cc44-0d2c-4f6a3812dace?t=1674188031184,/documents/39908/62286/pozo-soton.jpg/74bea697-5243-f469-38d8-d8bbbbd778da?t=1674188032499,/documents/39908/62286/mumi-el-entrego-1.jpg/9d567d15-a9a5-2475-253c-3a286d11181a?t=1674188031818;Vistas de L' Entregu/El Entrego,MUMI (Museo de la Minería y de la Industria) en L' Entregu/El Entrego,Vistas del Pozo Sotón en San Andrés de Llinares, San Martín del Rey Aurelio,Interior del MUMI (Museo de la Minería y de la Industria) en L' Entregu/El Entrego;,,,;;
Área autocaravanas de El Peral (Casa Junco);Ribadedeva;Oriente de Asturias;15;Gratuita;;Privada;Se accede por la N-634. El área está en la misma carretera.;;Craga agua potable Vaciado aguas grises Vaciado aguas negras Gasolinera < 10 km;Rte. Casa Junco N634, km 283. El Peral. 33590. Colombres;985 412 243;;;;43.380556,-4.554722;/documents/39908/62253/CasaJunco_1.jpg/44adef22-2b80-9529-17d0-c0501c5f313a?t=1674188001438,/documents/39908/62253/archivo-de-indianos.jpg/3029ede8-2cd6-5538-8778-ba3bff51577f?t=1674188002052,/documents/39908/62253/CasaJunco_2.jpg/3f956810-d265-6972-8d5d-9fca03a534df?t=1674188000829,/documents/39908/62253/casa-de-piedra-colombres.jpg/bd4c1f6e-10f5-ab53-98c6-127ed061710c?t=1674188002678;Área autocaravanas de El Peral (Casa Junco),Archivo de Indianos en Colombres,Área autocaravanas de El Peral (Casa Junco),Casa de Piedra en Colombres;,,,;;
Área autocaravanas de La Plaza (Teverga);Teverga;Centro de Asturias;10;Gratuita;;Pública;Ctra. AS-228 hasta San Martín. Continuar por la TE-1 dirección Puerto de San Lorenzo. Se encuentra a pocos metros antes de llegar a La Plaza.;;Carga agua potable Vaciado aguas grises Vaciado aguas negras Servicios hostelería (próximos) Supermercado/tienda (próximos) Gasolinera <10 km Zona pícnic Parque infantil Transporte público < 10 km Aparcamiento;Ctra. TE1. La Plaza. 33111. Samartín;985 764 293;;;;43.15944, -6.10083;/documents/39908/62235/pena-sobia-desde-la-plaza.jpg/7dc4fbd5-a5d7-6618-d28e-944ce6c3c9f3?t=1674187984473,/documents/39908/62235/AreaLa+Plaza_Teverga2.jpg/e1661dad-9d67-7383-a4d9-c8693bf6d4f5?t=1674187982446,/documents/39908/62235/colegiata-san-pedro-la-plaza.jpg/831ae1ac-8c51-0db2-6799-646e423f27b0?t=1674187985080,/documents/39908/62235/%C3%81reaLaPlaza_Teverga1.jpg/48bb6c97-e7b9-1160-e5c1-70643185bc6b?t=1674187983784;Peña Sobia desde La Plaza, cerca del área de autocaravanas,Área autocaravanas de La Plaza,Colegiata de San Pedro en La Plaza,Área autocaravanas de La Plaza;,,,;;
Parking de La Foz de Morcín;Morcín;Centro de Asturias;10;Gratuita;48 h.;Pública;Desde Oviedo y Mieres se llega por la N-630, tomando el desvío por la AS-231 a la altura de los túneles de Vega San Pedro. Después de pasar La Maza y La Puente, se llega a La Foz. Una vez en el pueblo, el parking está detrás del Polideportivo.;;Permite pernoctar Aparcamiento (sin servicio cambio aguas) No se permite sacar mesas, sillas, etc… Restaurantes (próximos) Cajero (próximo) Farmacia (próxima);Plaza del Polideportivo. 33161. La Foz de Morcín;985 783 178;;;;43.25306,-5.87083;/documents/39908/62169/Parking+autocaravanas+de+La+Foz+de+Morc%C3%ADn+%285%29.jpg/26fba89f-8502-32f0-d3d6-3140adabb1ae?t=1674187914463,/documents/39908/62169/Parking+autocaravanas+de+La+Foz+de+Morc%C3%ADn+%283%29.jpg/5fed8774-27ea-8c9c-f8fc-d85bf525f1f0?t=1674187913150,/documents/39908/62169/Parking+autocaravanas+de+La+Foz+de+Morc%C3%ADn+%286%29.jpg/00b669a6-4d7c-aa27-77e6-f274b97c6d20?t=1674187915401,/documents/39908/62169/Parking+autocaravanas+de+La+Foz+de+Morc%C3%ADn+%284%29.jpg/905e607c-e4c6-be6e-b357-b468183e17be?t=1674187913833;Vistas de La Foz de Morcín,La Foz de Morcín al fondo,La Foz de Morcín,La Foz de Morcín;,,,;;
